Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Matches,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
Aaron Martin,2022-2023,Mainz 05,de GER,1. Bundesliga,42.0,27.0,25.0,11.0,6.0,21.0,40.0,"52,5",19.0,22.0,1.0,21.0,15.0,57.0,31.0,0.0,Partite,59.0,"2,87",39.0,18.0,1.0,0.0,0.0,5.0,"0,24",4.0,1.0,0.0,0.0,0.0,0.0,761.0,1028.0,"74,0",12672.0,5222.0,385.0,424.0,"90,8",283.0,356.0,"79,5",73.0,187.0,"39,0",3.0,2.8,3.4,0.2,27.0,68.0,29.0,16.0,86.0,730.0,293.0,39.0,0.0,4.0,145.0,195.0,59.0,42.0,16.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Martin,2023-2024,Genoa,it ITA,1. Serie A,13.0,6.0,5.0,6.0,2.0,7.0,16.0,"43,8",9.0,7.0,1.0,6.0,5.0,18.0,7.0,0.0,Partite,19.0,"2,26",11.0,7.0,1.0,0.0,0.0,1.0,"0,12",1.0,0.0,0.0,0.0,0.0,0.0,231.0,349.0,"66,2",3997.0,1513.0,107.0,119.0,"89,9",89.0,122.0,"73,0",27.0,82.0,"32,9",0.0,1.1,1.2,-1.1,15.0,13.0,10.0,8.0,17.0,274.0,73.0,10.0,0.0,0.0,70.0,41.0,22.0,6.0,14.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Rrahmani,2022-2023,Napoli,it ITA,1. Serie A,33.0,18.0,20.0,13.0,0.0,17.0,26.0,"65,4",9.0,36.0,20.0,16.0,14.0,47.0,79.0,1.0,Partite,26.0,"0,96",23.0,0.0,1.0,0.0,1.0,4.0,"0,15",4.0,0.0,0.0,0.0,0.0,0.0,1977.0,2167.0,"91,2",39821.0,13543.0,641.0,688.0,"93,2",1039.0,1081.0,"96,1",266.0,349.0,"76,2",1.0,1.0,0.8,0.0,12.0,149.0,7.0,0.0,135.0,2097.0,67.0,63.0,0.0,30.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Rrahmani,2023-2024,Napoli,it ITA,1. Serie A,20.0,16.0,11.0,9.0,0.0,11.0,21.0,"52,4",10.0,16.0,7.0,9.0,15.0,35.0,64.0,0.0,Partite,29.0,"1,44",24.0,0.0,0.0,1.0,1.0,5.0,"0,25",5.0,0.0,0.0,0.0,0.0,0.0,1445.0,1612.0,"89,6",28083.0,9403.0,524.0,552.0,"94,9",727.0,773.0,"94,0",178.0,257.0,"69,3",0.0,0.6,0.5,-0.6,8.0,107.0,3.0,0.0,87.0,1552.0,56.0,49.0,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelino,2022-2023,Hoffenheim,de GER,1. Bundesliga,40.0,24.0,19.0,18.0,3.0,23.0,37.0,"62,2",14.0,32.0,6.0,26.0,25.0,65.0,67.0,0.0,Partite,88.0,"3,03",61.0,20.0,1.0,3.0,1.0,10.0,"0,34",8.0,1.0,0.0,1.0,0.0,0.0,1012.0,1544.0,"65,5",19297.0,7991.0,424.0,501.0,"84,6",433.0,616.0,"70,3",143.0,339.0,"42,2",8.0,7.2,7.7,0.8,50.0,82.0,52.0,29.0,108.0,1160.0,366.0,42.0,1.0,16.0,179.0,276.0,48.0,18.0,23.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelino,2023-2024,Roma,it ITA,1. Serie A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,2.0,3.0,12.0,0.0,Partite,8.0,"2,26",7.0,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,147.0,186.0,"79,0",2484.0,986.0,73.0,75.0,"97,3",56.0,72.0,"77,8",16.0,33.0,"48,5",0.0,0.5,0.3,-0.5,5.0,12.0,5.0,3.0,8.0,162.0,22.0,2.0,0.0,2.0,7.0,19.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Bastoni,2022-2023,Inter,it ITA,1. Serie A,41.0,20.0,20.0,14.0,7.0,11.0,27.0,"40,7",16.0,27.0,13.0,14.0,24.0,65.0,45.0,0.0,Partite,52.0,"2,17",43.0,4.0,1.0,2.0,0.0,5.0,"0,21",3.0,1.0,0.0,0.0,1.0,0.0,1384.0,1671.0,"82,8",27841.0,9878.0,486.0,539.0,"90,2",677.0,751.0,"90,1",207.0,324.0,"63,9",2.0,2.7,2.9,-0.7,15.0,130.0,29.0,11.0,141.0,1510.0,152.0,53.0,2.0,24.0,49.0,77.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Bastoni,2023-2024,Inter,it ITA,1. Serie A,32.0,25.0,22.0,7.0,3.0,17.0,30.0,"56,7",13.0,16.0,8.0,8.0,19.0,51.0,35.0,0.0,Partite,48.0,"2,63",40.0,1.0,0.0,3.0,1.0,2.0,"0,11",2.0,0.0,0.0,0.0,0.0,0.0,1178.0,1359.0,"86,7",22810.0,7722.0,463.0,487.0,"95,1",539.0,591.0,"91,2",158.0,226.0,"69,9",0.0,2.8,2.7,-2.8,16.0,90.0,23.0,9.0,98.0,1259.0,95.0,44.0,1.0,20.0,55.0,46.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Buongiorno,2022-2023,Torino,it ITA,1. Serie A,38.0,25.0,22.0,16.0,0.0,16.0,31.0,"51,6",15.0,38.0,19.0,19.0,60.0,98.0,105.0,2.0,Partite,22.0,"0,73",17.0,0.0,0.0,1.0,2.0,4.0,"0,13",3.0,0.0,0.0,1.0,0.0,0.0,1332.0,1573.0,"84,7",22243.0,6857.0,578.0,643.0,"89,9",671.0,750.0,"89,5",57.0,113.0,"50,4",2.0,1.3,1.0,0.7,8.0,70.0,5.0,3.0,81.0,1527.0,41.0,30.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Buongiorno,2023-2024,Torino,it ITA,1. Serie A,48.0,28.0,30.0,15.0,3.0,15.0,25.0,"60,0",10.0,16.0,11.0,5.0,44.0,92.0,86.0,0.0,Partite,15.0,"0,82",11.0,0.0,0.0,1.0,2.0,1.0,"0,05",0.0,0.0,0.0,0.0,1.0,0.0,620.0,749.0,"82,8",10596.0,3472.0,269.0,311.0,"86,5",309.0,350.0,"88,3",35.0,63.0,"55,6",0.0,0.1,0.4,-0.1,3.0,21.0,4.0,1.0,43.0,738.0,11.0,10.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Cambiaso,2022-2023,Bologna,it ITA,1. Serie A,57.0,34.0,34.0,20.0,3.0,28.0,65.0,"43,1",37.0,26.0,2.0,24.0,26.0,83.0,33.0,1.0,Partite,55.0,"2,28",43.0,4.0,4.0,2.0,0.0,7.0,"0,29",7.0,0.0,0.0,0.0,0.0,0.0,1277.0,1521.0,"84,0",19674.0,6031.0,686.0,753.0,"91,1",472.0,541.0,"87,2",83.0,144.0,"57,6",3.0,2.4,1.6,0.6,28.0,48.0,24.0,7.0,83.0,1281.0,238.0,24.0,0.0,9.0,56.0,211.0,3.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Cambiaso,2023-2024,Juventus,it ITA,1. Serie A,28.0,20.0,16.0,8.0,4.0,17.0,31.0,"54,8",14.0,20.0,1.0,19.0,7.0,35.0,18.0,0.0,Partite,46.0,"2,71",35.0,1.0,4.0,3.0,1.0,5.0,"0,30",5.0,0.0,0.0,0.0,0.0,0.0,647.0,770.0,"84,0",9950.0,2045.0,348.0,386.0,"90,2",243.0,280.0,"86,8",36.0,52.0,"69,2",3.0,2.5,2.3,0.5,18.0,25.0,10.0,6.0,36.0,705.0,61.0,7.0,1.0,3.0,50.0,44.0,9.0,2.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Conti,2022-2023,Sampdoria,it ITA,1. Serie A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partite,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,"54,5",76.0,25.0,5.0,7.0,"71,4",1.0,3.0,"33,3",0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Conti,2023-2024,Sampdoria,it ITA,2. Serie B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partite,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"100,0",22.0,0.0,2.0,2.0,"100,0",0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Dossena,2022-2023,Cagliari,it ITA,2. Serie B,33.0,17.0,25.0,8.0,0.0,11.0,22.0,"50,0",11.0,29.0,14.0,15.0,30.0,63.0,105.0,0.0,Partite,16.0,"0,85",11.0,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,752.0,902.0,"83,4",16768.0,5481.0,164.0,187.0,"87,7",438.0,492.0,"89,0",143.0,192.0,"74,5",0.0,0.2,0.3,-0.2,3.0,36.0,0.0,0.0,56.0,877.0,21.0,20.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Dossena,2023-2024,Cagliari,it ITA,1. Serie A,46.0,31.0,35.0,11.0,0.0,28.0,43.0,"65,1",15.0,38.0,22.0,16.0,36.0,82.0,126.0,2.0,Partite,20.0,"0,82",15.0,0.0,0.0,0.0,2.0,3.0,"0,12",3.0,0.0,0.0,0.0,0.0,0.0,785.0,963.0,"81,5",16712.0,5661.0,216.0,250.0,"86,4",442.0,502.0,"88,0",121.0,190.0,"63,7",3.0,2.0,1.0,1.0,9.0,49.0,3.0,0.0,66.0,930.0,32.0,29.0,3.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Ferrari,2022-2023,Cremonese,it ITA,1. Serie A,40.0,23.0,32.0,7.0,1.0,28.0,42.0,"66,7",14.0,19.0,4.0,15.0,25.0,65.0,45.0,1.0,Partite,6.0,"0,54",4.0,0.0,1.0,1.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,339.0,458.0,"74,0",6421.0,2306.0,129.0,161.0,"80,1",169.0,203.0,"83,3",38.0,78.0,"48,7",0.0,0.1,0.2,-0.1,3.0,27.0,5.0,1.0,27.0,415.0,43.0,18.0,0.0,4.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Ferrari,2023-2024,Sampdoria,it ITA,2. Serie B,1.0,1.0,1.0,0.0,0.0,1.0,4.0,"25,0",3.0,6.0,5.0,1.0,8.0,9.0,9.0,0.0,Partite,1.0,"0,37",1.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,162.0,176.0,"92,0",3072.0,1261.0,57.0,61.0,"93,4",92.0,97.0,"94,8",12.0,16.0,"75,0",0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,167.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Florenzi,2022-2023,Milan,it ITA,1. Serie A,6.0,4.0,3.0,2.0,1.0,4.0,7.0,"57,1",3.0,1.0,0.0,1.0,4.0,10.0,2.0,0.0,Partite,9.0,"4,01",4.0,3.0,0.0,1.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,130.0,172.0,"75,6",2370.0,661.0,52.0,57.0,"91,2",64.0,78.0,"82,1",12.0,34.0,"35,3",0.0,0.5,1.1,-0.5,6.0,8.0,6.0,5.0,10.0,136.0,35.0,7.0,0.0,1.0,22.0,22.0,6.0,2.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Florenzi,2023-2024,Milan,it ITA,1. Serie A,35.0,17.0,21.0,10.0,4.0,20.0,41.0,"48,8",21.0,13.0,7.0,6.0,15.0,50.0,18.0,1.0,Partite,51.0,"3,82",34.0,11.0,0.0,1.0,1.0,3.0,"0,22",2.0,1.0,0.0,0.0,0.0,0.0,726.0,881.0,"82,4",13163.0,4430.0,305.0,324.0,"94,1",323.0,370.0,"87,3",82.0,153.0,"53,6",2.0,1.7,1.8,0.3,25.0,62.0,12.0,6.0,70.0,735.0,144.0,34.0,0.0,13.0,69.0,81.0,29.0,16.0,10.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Gravillon,2022-2023,Reims,fr FRA,1. Ligue 1,16.0,8.0,9.0,6.0,1.0,8.0,13.0,"61,5",5.0,18.0,9.0,9.0,21.0,37.0,36.0,0.0,Partite,9.0,"0,78",5.0,2.0,0.0,0.0,0.0,1.0,"0,09",1.0,0.0,0.0,0.0,0.0,0.0,330.0,445.0,"74,2",6298.0,2474.0,127.0,157.0,"80,9",159.0,191.0,"83,2",38.0,75.0,"50,7",0.0,0.4,0.6,-0.4,3.0,31.0,4.0,2.0,38.0,384.0,58.0,19.0,2.0,5.0,16.0,39.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Gravillon,2023-2024,Adana Demirspor,tr TUR,1. Süper Lig,,15.0,,,,,,,,,,,25.0,,,,Partite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Ismajli,2022-2023,Empoli,it ITA,1. Serie A,40.0,32.0,25.0,15.0,0.0,18.0,24.0,"75,0",6.0,47.0,31.0,16.0,27.0,67.0,120.0,0.0,Partite,11.0,"0,47",9.0,0.0,0.0,0.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,871.0,1029.0,"84,6",17177.0,5741.0,273.0,295.0,"92,5",504.0,562.0,"89,7",87.0,141.0,"61,7",0.0,0.3,0.4,-0.3,5.0,26.0,3.0,0.0,42.0,980.0,48.0,28.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Ismajli,2023-2024,Empoli,it ITA,1. Serie A,18.0,11.0,12.0,4.0,2.0,12.0,15.0,"80,0",3.0,23.0,15.0,8.0,18.0,36.0,96.0,1.0,Partite,10.0,"0,58",7.0,2.0,0.0,0.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,699.0,830.0,"84,2",14064.0,5126.0,207.0,230.0,"90,0",412.0,448.0,"92,0",77.0,128.0,"60,2",0.0,0.1,0.2,-0.1,3.0,36.0,2.0,0.0,38.0,761.0,66.0,27.0,1.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Izzo,2022-2023,Monza,it ITA,1. Serie A,73.0,50.0,44.0,27.0,2.0,29.0,45.0,"64,4",16.0,29.0,17.0,12.0,50.0,123.0,87.0,1.0,Partite,26.0,"0,95",22.0,0.0,0.0,1.0,2.0,1.0,"0,04",0.0,0.0,0.0,0.0,1.0,0.0,1389.0,1597.0,"87,0",25346.0,7926.0,543.0,583.0,"93,1",687.0,755.0,"91,0",131.0,213.0,"61,5",0.0,0.9,0.8,-0.9,15.0,85.0,7.0,2.0,96.0,1495.0,96.0,67.0,1.0,19.0,7.0,25.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Izzo,2023-2024,Monza,it ITA,1. Serie A,14.0,10.0,8.0,6.0,0.0,4.0,10.0,"40,0",6.0,7.0,4.0,3.0,12.0,26.0,22.0,1.0,Partite,10.0,"1,23",9.0,0.0,0.0,0.0,0.0,1.0,"0,12",1.0,0.0,0.0,0.0,0.0,0.0,527.0,579.0,"91,0",10061.0,2985.0,187.0,197.0,"94,9",280.0,297.0,"94,3",58.0,79.0,"73,4",0.0,0.4,1.2,-0.4,4.0,32.0,3.0,0.0,29.0,552.0,27.0,21.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Marusic,2022-2023,Lazio,it ITA,1. Serie A,41.0,30.0,23.0,14.0,4.0,25.0,39.0,"64,1",14.0,20.0,6.0,14.0,38.0,79.0,63.0,1.0,Partite,35.0,"1,14",28.0,3.0,0.0,0.0,3.0,3.0,"0,10",2.0,0.0,0.0,1.0,0.0,0.0,1564.0,1829.0,"85,5",23902.0,9688.0,866.0,939.0,"92,2",546.0,644.0,"84,8",104.0,164.0,"63,4",2.0,1.1,1.2,0.9,9.0,107.0,7.0,4.0,116.0,1573.0,253.0,28.0,0.0,8.0,17.0,225.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Marusic,2023-2024,Lazio,it ITA,1. Serie A,32.0,21.0,17.0,14.0,1.0,20.0,37.0,"54,1",17.0,22.0,7.0,15.0,24.0,56.0,51.0,2.0,Partite,20.0,"0,80",17.0,1.0,1.0,1.0,0.0,1.0,"0,04",1.0,0.0,0.0,0.0,0.0,0.0,1173.0,1412.0,"83,1",17996.0,7474.0,646.0,708.0,"91,2",431.0,522.0,"82,6",63.0,121.0,"52,1",0.0,0.6,0.6,-0.6,5.0,93.0,13.0,7.0,84.0,1183.0,228.0,15.0,0.0,2.0,28.0,213.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Masina,2022-2023,Udinese,it ITA,1. Serie A,10.0,7.0,7.0,3.0,0.0,6.0,15.0,"40,0",9.0,11.0,4.0,7.0,10.0,20.0,28.0,1.0,Partite,5.0,"0,57",5.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,332.0,428.0,"77,6",7007.0,2817.0,110.0,125.0,"88,0",164.0,195.0,"84,1",56.0,99.0,"56,6",0.0,0.2,0.3,-0.2,2.0,26.0,5.0,3.0,24.0,386.0,40.0,13.0,1.0,6.0,10.0,27.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Masina,2023-2024,Udinese,it ITA,1. Serie A,4.0,0.0,2.0,2.0,0.0,2.0,4.0,"50,0",2.0,2.0,1.0,1.0,2.0,6.0,5.0,0.0,Partite,2.0,"2,86",1.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,"73,3",345.0,153.0,12.0,15.0,"80,0",8.0,9.0,"88,9",2.0,4.0,"50,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Reca,2022-2023,Spezia,it ITA,1. Serie A,44.0,28.0,22.0,12.0,10.0,19.0,32.0,"59,4",13.0,21.0,5.0,16.0,24.0,68.0,54.0,0.0,Partite,50.0,"2,07",39.0,2.0,3.0,1.0,1.0,2.0,"0,08",1.0,0.0,0.0,1.0,0.0,0.0,827.0,1197.0,"69,1",14250.0,5884.0,393.0,478.0,"82,2",320.0,430.0,"74,4",89.0,200.0,"44,5",1.0,2.2,2.1,-1.2,23.0,76.0,33.0,25.0,79.0,943.0,250.0,5.0,0.0,9.0,99.0,245.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Reca,2023-2024,Spezia,it ITA,2. Serie B,16.0,7.0,13.0,3.0,0.0,7.0,14.0,"50,0",7.0,6.0,1.0,5.0,13.0,29.0,22.0,0.0,Partite,34.0,"3,39",25.0,4.0,4.0,0.0,1.0,1.0,"0,10",0.0,0.0,0.0,0.0,0.0,1.0,263.0,404.0,"65,1",4480.0,1803.0,127.0,148.0,"85,8",104.0,153.0,"68,0",25.0,73.0,"34,2",0.0,1.6,1.2,-1.6,16.0,14.0,14.0,9.0,25.0,327.0,75.0,5.0,0.0,0.0,46.0,70.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Romagnoli,2022-2023,Lazio,it ITA,1. Serie A,33.0,15.0,19.0,14.0,0.0,11.0,22.0,"50,0",11.0,33.0,26.0,7.0,38.0,71.0,108.0,0.0,Partite,14.0,"0,43",11.0,3.0,0.0,0.0,0.0,3.0,"0,09",3.0,0.0,0.0,0.0,0.0,0.0,1673.0,1849.0,"90,5",28906.0,11821.0,753.0,789.0,"95,4",717.0,764.0,"93,8",153.0,223.0,"68,6",0.0,0.1,0.4,-0.1,2.0,91.0,4.0,0.0,62.0,1688.0,161.0,91.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Romagnoli,2023-2024,Lazio,it ITA,1. Serie A,19.0,13.0,11.0,8.0,0.0,13.0,18.0,"72,2",5.0,23.0,15.0,8.0,15.0,34.0,81.0,0.0,Partite,9.0,"0,48",9.0,0.0,0.0,0.0,0.0,1.0,"0,05",1.0,0.0,0.0,0.0,0.0,0.0,1064.0,1165.0,"91,3",18175.0,6749.0,450.0,473.0,"95,1",516.0,549.0,"94,0",72.0,109.0,"66,1",0.0,0.1,0.3,-0.1,4.0,58.0,3.0,0.0,68.0,1075.0,88.0,42.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Sandro,2022-2023,Juventus,it ITA,1. Serie A,35.0,20.0,16.0,16.0,3.0,15.0,22.0,"68,2",7.0,27.0,10.0,17.0,15.0,50.0,64.0,1.0,Partite,36.0,"1,81",32.0,0.0,2.0,1.0,1.0,3.0,"0,15",3.0,0.0,0.0,0.0,0.0,0.0,1081.0,1256.0,"86,1",19560.0,6667.0,466.0,504.0,"92,5",477.0,532.0,"89,7",120.0,172.0,"69,8",1.0,0.9,1.1,0.1,12.0,93.0,9.0,3.0,97.0,1100.0,152.0,24.0,0.0,8.0,19.0,117.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Sandro,2023-2024,Juventus,it ITA,1. Serie A,8.0,3.0,3.0,5.0,0.0,3.0,4.0,"75,0",1.0,10.0,5.0,5.0,8.0,16.0,17.0,0.0,Partite,9.0,"1,51",7.0,0.0,0.0,1.0,0.0,1.0,"0,17",0.0,0.0,0.0,0.0,1.0,0.0,391.0,452.0,"86,5",6990.0,2402.0,155.0,164.0,"94,5",197.0,217.0,"90,8",34.0,59.0,"57,6",0.0,0.8,0.7,-0.8,4.0,35.0,7.0,3.0,38.0,383.0,67.0,10.0,0.0,1.0,5.0,48.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
