Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Matches,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
S. de_Vrij,2023-2024,Inter,it ITA,1. Serie A,16.0,12.0,11.0,4.0,1.0,6.0,11.0,"54,5",5.0,15.0,6.0,9.0,18.0,34.0,37.0,0.0,Partite,6.0,"0,44",4.0,0.0,0.0,0.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,632.0,686.0,"92,1",10859.0,3362.0,260.0,271.0,"95,9",338.0,360.0,"93,9",27.0,40.0,"67,5",0.0,0.2,0.1,-0.2,1.0,17.0,3.0,0.0,24.0,676.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kalaj,2022-2023,Stuttgart,de GER,1. Bundesliga,3.0,2.0,0.0,1.0,2.0,1.0,3.0,"33,3",2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Partite,9.0,"3,48",9.0,0.0,0.0,0.0,0.0,3.0,"1,16",3.0,0.0,0.0,0.0,0.0,0.0,40.0,63.0,"63,5",689.0,172.0,19.0,30.0,"63,3",14.0,22.0,"63,6",4.0,5.0,"80,0",3.0,0.6,0.3,2.4,6.0,3.0,0.0,0.0,4.0,60.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kalaj,2023-2024,Wolves,eng ENG,1. Premier League,6.0,2.0,3.0,2.0,1.0,1.0,2.0,"50,0",1.0,3.0,0.0,3.0,1.0,7.0,6.0,0.0,Partite,5.0,"2,71",5.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,38.0,60.0,"63,3",507.0,130.0,22.0,33.0,"66,7",10.0,16.0,"62,5",2.0,5.0,"40,0",0.0,1.0,0.3,-1.0,4.0,1.0,2.0,0.0,5.0,59.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kjaer,2022-2023,Milan,it ITA,1. Serie A,15.0,8.0,9.0,6.0,0.0,7.0,11.0,"63,6",4.0,14.0,11.0,3.0,9.0,24.0,35.0,1.0,Partite,5.0,"0,45",4.0,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,591.0,683.0,"86,5",12451.0,4463.0,175.0,193.0,"90,7",313.0,331.0,"94,6",99.0,152.0,"65,1",0.0,0.0,0.2,0.0,0.0,47.0,1.0,0.0,45.0,667.0,16.0,15.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kjaer,2023-2024,Milan,it ITA,1. Serie A,21.0,13.0,9.0,10.0,2.0,14.0,21.0,"66,7",7.0,22.0,16.0,6.0,14.0,35.0,46.0,0.0,Partite,8.0,"0,67",7.0,0.0,0.0,1.0,0.0,1.0,"0,08",1.0,0.0,0.0,0.0,0.0,0.0,667.0,760.0,"87,8",12724.0,4627.0,225.0,241.0,"93,4",373.0,397.0,"94,0",62.0,106.0,"58,5",1.0,0.6,0.5,0.4,3.0,38.0,1.0,0.0,49.0,734.0,26.0,20.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kolasinac,2022-2023,Marseille,fr FRA,1. Ligue 1,52.0,36.0,24.0,22.0,6.0,24.0,37.0,"64,9",13.0,19.0,2.0,17.0,43.0,95.0,35.0,1.0,Partite,27.0,"1,10",24.0,0.0,1.0,0.0,0.0,5.0,"0,20",2.0,0.0,1.0,2.0,0.0,0.0,1135.0,1333.0,"85,1",17773.0,4570.0,572.0,628.0,"91,1",478.0,549.0,"87,1",48.0,84.0,"57,1",1.0,0.9,1.7,0.1,11.0,93.0,11.0,2.0,109.0,1261.0,68.0,23.0,1.0,3.0,20.0,45.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Kolasinac,2023-2024,Atalanta,it ITA,1. Serie A,34.0,24.0,19.0,13.0,2.0,22.0,38.0,"57,9",16.0,15.0,6.0,9.0,18.0,52.0,36.0,0.0,Partite,18.0,"0,91",15.0,0.0,1.0,1.0,0.0,1.0,"0,05",1.0,0.0,0.0,0.0,0.0,0.0,875.0,1033.0,"84,7",13572.0,4719.0,470.0,512.0,"91,8",353.0,400.0,"88,3",34.0,70.0,"48,6",0.0,1.0,0.5,-1.0,6.0,61.0,7.0,2.0,77.0,967.0,61.0,20.0,1.0,4.0,6.0,41.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Luperto,2022-2023,Empoli,it ITA,1. Serie A,33.0,18.0,24.0,8.0,1.0,9.0,20.0,"45,0",11.0,54.0,42.0,12.0,43.0,76.0,163.0,1.0,Partite,12.0,"0,34",10.0,1.0,0.0,0.0,0.0,2.0,"0,06",2.0,0.0,0.0,0.0,0.0,0.0,1474.0,1705.0,"86,5",29332.0,10243.0,461.0,492.0,"93,7",809.0,878.0,"92,1",183.0,298.0,"61,4",0.0,0.6,0.4,-0.6,3.0,54.0,3.0,1.0,72.0,1532.0,171.0,81.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Luperto,2023-2024,Empoli,it ITA,1. Serie A,28.0,18.0,20.0,6.0,2.0,13.0,20.0,"65,0",7.0,32.0,27.0,5.0,18.0,46.0,104.0,1.0,Partite,21.0,"0,81",15.0,2.0,0.0,0.0,1.0,1.0,"0,04",1.0,0.0,0.0,0.0,0.0,0.0,1081.0,1320.0,"81,9",20932.0,7326.0,343.0,385.0,"89,1",622.0,692.0,"89,9",106.0,219.0,"48,4",1.0,1.0,0.7,0.0,9.0,58.0,2.0,0.0,72.0,1230.0,87.0,44.0,2.0,8.0,8.0,32.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Posch,2022-2023,Hoffenheim,de GER,1. Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"58,7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partite,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,"66,7",163.0,27.0,1.0,3.0,"33,3",6.0,6.0,"100,0",1.0,2.0,"50,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
