#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Pali,Goal Testa,Goal Rig,Goal Punizione,Chance Fallite,Goal/Min,SCR,Dribb Tentati,Dribb Riusciti
383,G. Pezzella,Dif,LEC,122.20,6.90,-3.30,16,10,921,0,4,0,0,0,0,0,0,0,0,15,6
384,P. Ghiglione,Dif,CRE,121.70,5.60,-2.60,15,8,709,1,7,2,0,0,0,0,2,709,14.29,11,2
385,Diego Llorente,Dif,ROM,120.40,10.80,-1.30,9,5,573,0,4,1,0,0,0,0,0,0,0,2,1
389,S. Walukiewicz,Dif,EMP,117.90,7.20,-2.00,11,6,601,0,2,1,1,0,0,0,0,0,0,4,4
390,L. De Silvestri,Dif,BOL,117.40,6.30,-3.10,15,6,667,1,5,3,0,1,0,0,1,667,20,3,2
392,M. Pongracic,Dif,LEC,116.90,7.80,-2.80,9,9,791,0,1,0,0,0,0,0,0,0,0,2,2
395,L. Ostigard,Dif,NAP,114.80,9.10,-2.60,7,4,416,0,3,0,0,0,0,0,0,0,0,0,0
397,G. Quagliata,Dif,CRE,110.90,4.80,-3.30,20,6,692,0,9,1,0,0,0,0,0,0,0,21,10
400,L. Ranieri,Dif,FIO,107.80,7.80,-2.00,9,5,505,0,1,0,0,0,0,0,0,0,0,2,1
402,M. Gabbia,Dif,MIL,106.50,4.30,-2.30,12,6,608,0,1,0,0,0,0,0,0,0,0,0,0
409,N. Murru,Dif,SAM,95.50,4.00,-2.40,20,5,774,0,2,0,0,0,0,0,0,0,0,1,0
412,W. Troost-Ekong,Dif,SAL,93.00,7.40,-1.00,9,4,440,1,2,1,0,0,0,0,0,440,50,0,0
415,L. Cacace,Dif,EMP,89.30,4.30,-1.90,12,5,580,0,7,1,0,0,0,0,0,0,0,18,8
417,J. Sosa,Dif,BOL,88.30,5.30,-2.20,10,7,687,0,3,1,0,0,0,0,0,0,0,3,3
420,D. Zima,Dif,TOR,79.40,6.80,-3.50,9,4,402,0,4,2,0,0,0,0,1,0,0,1,1
424,G. Donati,Dif,MON,70.80,5.00,-2.90,8,4,423,1,2,1,0,0,0,0,0,423,50,3,1
428,A. Tuia,Dif,LEC,67.40,4.00,-1.80,7,6,511,0,2,1,0,0,0,0,0,0,0,3,2
429,J. Cabal,Dif,VER,67.40,5.20,-2.80,11,3,440,0,1,1,0,0,0,0,0,0,0,3,3
434,M. Kumbulla,Dif,ROM,58.10,5.70,-3.50,7,5,260,0,1,0,0,0,0,0,0,0,0,0,0
435,S. Dest,Dif,MIL,57.70,8.60,-4.10,8,2,326,0,2,1,0,0,0,0,1,0,0,16,7
436,A. Gravillon,Dif,TOR,57.40,6.70,-1.50,7,4,312,0,1,0,0,0,0,0,0,0,0,2,1
442,A. Florenzi,Dif,MIL,51.90,6.00,-3.40,6,2,199,0,5,2,1,0,0,0,1,0,0,1,0
445,L. Pellegrini,Dif,LAZ,49.00,6.80,-1.70,7,1,175,0,3,0,0,0,0,0,0,0,0,7,3
446,V. Antov,Dif,MON,48.90,4.00,-2.80,9,2,300,0,0,0,0,0,0,0,0,0,0,1,1
454,S. Romagnoli,Dif,LEC,36.10,5.00,-1.50,7,1,164,0,1,0,0,0,0,0,0,0,0,0,0
463,M. Oikonomou,Dif,SAM,26.90,6.00,-0.60,6,3,219,0,3,0,0,0,0,0,0,0,0,0,0
466,F. Missori,Dif,ROM,24.90,4.90,-0.20,3,2,181,0,0,0,0,0,0,0,0,0,0,2,0
468,J. Hendry,Dif,CRE,24.50,7.10,-3.60,4,2,218,0,0,0,0,0,0,0,0,0,0,1,0
469,Mario Gila,Dif,LAZ,24.40,6.30,-4.00,4,0,86,0,0,0,0,0,0,0,0,0,0,0,0
