#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Ass,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Cross no Corner
98,D. Calabria,Dif,MIL,302.70,13.40,-1.20,23,20,1652,3,969,843,87,8,1,30,12,30
101,J. Vasquez,Dif,GEN,296.60,9.10,2.60,26,21,1878,0,770,591,76.75,8,1,21,2,21
103,V. Kristiansen,Dif,BOL,295.80,11.00,1.10,23,18,1594,3,964,821,85.17,19,3,23,8,23
105,C. Biraghi,Dif,FIO,295.10,13.20,-0.70,22,21,1821,3,1066,875,82.08,30,5,172,33,110
107,Pablo Mari,Dif,MON,292.50,12.20,-0.30,23,19,1643,0,1111,1023,92.08,3,1,3,1,3
109,M. Kayode,Dif,FIO,289.00,9.00,3.10,18,15,1438,1,692,590,85.26,11,1,48,15,48
111,Diego Llorente,Dif,ROM,288.50,10.90,1.30,22,20,1633,1,1185,1087,91.73,2,1,4,0,4
112,Carlos Augusto,Dif,INT,288.10,13.50,-2.50,26,7,1045,3,470,398,84.68,12,4,35,9,35
119,A. Romagnoli,Dif,LAZ,281.90,14.70,-1.60,20,18,1689,0,1156,1057,91.44,4,0,0,0,0
121,M. Pongracic,Dif,LEC,280.90,9.80,0.80,25,25,2230,0,1263,1077,85.27,7,0,0,0,0
126,V. Gendrey,Dif,LEC,275.20,9.70,0.20,26,25,2208,3,748,584,78.07,19,2,44,5,44
129,D. Zappacosta,Dif,ATA,272.70,12.30,-1.20,23,16,1334,1,574,501,87.28,13,3,57,18,52
136,M. Bani,Dif,GEN,263.80,9.90,1.40,21,21,1775,0,886,745,84.09,2,0,1,0,1
140,A. Florenzi,Dif,MIL,260.00,8.40,1.60,24,13,1197,2,728,636,87.72,25,1,69,19,43
142,B. Pavard,Dif,INT,258.30,16.40,-1.10,15,13,1019,1,729,667,91.5,7,0,16,3,16
143,D. D'Ambrosio,Dif,MON,257.10,11.20,0.60,19,15,1361,0,914,826,90.37,4,0,6,1,6
