#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
77,E. Hysaj,Dif,LAZ,467.60,11.00,0.20,34,22,1992,1,4,2,0,6,1,1038,13,19,14,3,0,43,39,12,0
82,Rogerio,Dif,SAS,461.60,9.60,0.60,36,34,2999,0,15,5,0,22,3,1317,30,30,38,5,1,58,37,8,0
83,R. Becao,Dif,UDI,457.20,10.80,-0.20,28,28,2486,2,19,5,0,5,1,988,10,38,32,10,1,62,70,9,0
85,G. Scalvini,Dif,ATA,456.80,10.90,-0.20,32,29,2345,2,17,4,0,12,2,1193,9,55,6,7,0,85,54,2,0
86,Mario Rui,Dif,NAP,456.20,14.50,-1.30,22,21,1761,0,11,4,0,7,6,1203,46,19,31,2,1,37,34,11,0
88,L. Caldirola,Dif,MON,455.70,10.10,1.60,31,27,2360,2,10,4,0,1,0,1255,4,30,26,6,0,39,26,8,0
91,M. Olivera,Dif,NAP,452.60,12.30,-0.90,30,17,1634,2,9,4,0,9,2,1034,24,21,25,2,0,45,39,7,0
92,M. Darmian,Dif,INT,446.60,10.60,-0.40,31,24,2032,1,7,1,0,9,2,1075,19,21,20,3,0,51,56,8,0
93,A. Bastoni,Dif,INT,446.40,13.50,-4.60,29,26,2168,0,12,3,0,7,2,1311,16,19,15,3,0,44,41,8,0
99,D. Dumfries,Dif,INT,433.80,12.10,-5.60,34,25,2223,1,33,14,0,18,4,599,32,31,39,4,0,30,35,8,0
100,K. Djidji,Dif,TOR,431.90,8.80,1.40,34,26,2422,1,8,4,0,4,0,1233,2,27,3,3,0,59,50,7,0
101,V. Gendrey,Dif,LEC,431.30,9.20,0.90,37,35,3103,0,10,0,0,15,2,749,27,23,27,4,0,94,88,5,0
102,S. de Vrij,Dif,INT,431.10,13.40,-4.20,27,22,1943,1,20,6,0,1,0,1076,1,15,7,4,0,58,29,8,0
103,Pablo Mari,Dif,MON,430.80,11.90,-2.10,30,28,2489,1,10,2,0,1,0,1426,3,31,9,4,0,50,37,7,0
105,J. Maehle,Dif,ATA,426.40,11.30,-4.40,34,25,2213,3,26,6,0,18,3,964,37,16,19,5,1,42,32,5,0
106,N. Milenkovic,Dif,FIO,425.90,13.30,-3.50,27,23,2136,2,19,6,0,0,1,1102,6,39,21,4,0,47,40,7,0
109,A. Cambiaso,Dif,BOL,423.60,9.60,0.60,32,25,2169,0,17,5,0,28,3,1073,28,26,30,2,0,60,58,5,0
111,D. Nikolaou,Dif,SPE,419.30,8.60,0.30,36,34,2962,1,10,3,0,10,0,1293,10,27,20,9,1,59,45,6,0
112,P. Schuurs,Dif,TOR,414.30,11.40,-2.00,30,28,2333,0,14,1,0,9,2,1053,7,31,3,5,0,53,51,7,0
116,W. Singo,Dif,TOR,411.50,11.60,-2.80,31,24,2056,2,34,10,0,29,1,681,23,42,35,8,0,29,27,9,0
122,M. Lazzari,Dif,LAZ,399.60,10.50,-1.50,28,22,1887,0,6,2,0,17,0,866,10,15,39,9,0,39,33,12,0
124,A. Sandro,Dif,JUV,395.60,11.80,-2.00,25,21,1786,0,5,0,0,18,1,977,12,27,25,5,1,35,35,10,0
128,E. Ampadu,Dif,SPE,392.90,10.00,-0.20,31,31,2649,0,16,5,0,8,1,1210,13,44,20,9,1,73,66,5,0
131,T. Augello,Dif,SAM,390.60,8.80,-0.90,37,35,3066,2,11,4,0,32,5,1014,43,14,26,3,0,30,17,3,0
139,D. Calabria,Dif,MIL,385.00,11.70,-1.60,25,21,1694,1,16,2,0,2,4,873,19,16,15,6,0,69,71,4,0
151,I. Hien,Dif,VER,364.60,9.10,-0.60,32,28,2607,0,3,0,0,14,0,756,2,52,23,9,0,68,74,6,0
153,E. Valeri,Dif,CRE,363.10,7.10,0.00,37,31,2790,2,40,6,0,18,3,548,54,27,37,3,0,49,54,6,0
155,M. Erlic,Dif,SAS,362.20,9.70,-1.60,28,26,2330,0,4,0,0,1,0,1108,2,21,12,2,0,47,27,8,0
159,P. Mazzocchi,Dif,SAL,359.80,9.20,-0.30,27,23,1967,2,18,6,0,56,3,535,30,27,17,2,0,28,32,3,0
162,T. Ebuehi,Dif,EMP,354.20,8.80,1.00,26,22,1926,2,19,4,0,11,4,534,12,12,17,0,0,26,22,6,0
165,G. Ferrari,Dif,SAS,348.90,8.90,-3.40,33,24,2220,1,8,1,0,0,0,1104,4,24,31,5,0,39,23,6,0
167,A. Ismajli,Dif,EMP,348.00,7.90,0.90,25,22,2090,0,9,2,0,2,0,870,5,19,13,3,0,59,40,6,0
172,Igor,Dif,FIO,342.50,10.10,-1.80,27,23,2058,0,7,0,0,9,0,1155,3,29,13,8,1,54,43,4,0
173,L. Sernicola,Dif,CRE,342.30,7.80,-0.40,32,27,2317,2,25,6,0,22,2,467,25,40,43,11,0,71,45,3,0
175,R. Gosens,Dif,INT,339.70,11.80,-6.70,32,11,1167,3,26,5,0,6,0,426,16,17,3,2,0,41,34,3,0
176,J. Toljan,Dif,SAS,338.20,7.90,-1.20,31,29,2672,0,5,0,0,6,1,1092,22,10,14,3,0,41,37,7,0
177,M. Skriniar,Dif,INT,337.50,14.00,-4.90,21,20,1771,0,9,2,0,3,0,1255,6,35,14,3,1,31,29,8,0
183,D. Zappacosta,Dif,ATA,334.20,13.20,-1.90,21,18,1476,4,25,10,0,17,2,589,15,18,13,4,0,27,34,1,0
185,B. Djimsiti,Dif,ATA,332.80,11.20,-2.30,24,20,1799,0,4,0,0,4,1,938,4,15,8,3,0,55,34,4,0
186,M. Demiral,Dif,ATA,332.50,10.60,-5.30,28,14,1523,1,6,1,0,2,0,557,4,13,13,5,0,53,41,5,0
187,L. Pirola,Dif,SAL,332.20,9.20,0.00,26,23,1948,2,13,2,0,3,0,787,3,28,9,4,0,59,33,3,0
189,N. Gyomber,Dif,SAL,329.20,7.50,1.10,27,23,1752,0,8,0,0,2,1,616,3,22,7,5,0,58,32,6,0
190,L. Spinazzola,Dif,ROM,327.70,10.20,-3.00,26,18,1651,1,10,6,0,25,4,588,21,13,13,3,0,17,15,6,0
194,M. Vojvoda,Dif,TOR,324.00,9.30,-1.80,29,18,1716,0,23,7,0,10,5,743,23,19,7,3,0,22,22,7,0
195,A. Gallo,Dif,LEC,323.40,7.10,0.20,32,28,2484,0,10,2,0,13,1,631,38,13,17,3,1,49,56,6,0
196,F. Daniliuc,Dif,SAL,321.90,9.10,-0.90,27,23,2195,0,10,4,0,2,2,960,7,33,4,9,0,58,58,4,0
197,S. Umtiti,Dif,LEC,321.70,10.00,-1.00,25,24,2114,0,12,0,0,6,0,720,3,32,27,8,0,60,52,6,0
198,Patric,Dif,LAZ,321.20,8.90,1.10,18,16,1414,0,2,1,0,2,0,947,2,3,4,1,0,22,17,10,0
199,M. Thiaw,Dif,MIL,319.90,10.40,0.20,20,15,1364,0,8,3,0,1,0,927,2,14,7,5,0,38,31,6,0
205,G. Kyriakopoulos,Dif,BOL,314.00,9.20,-1.50,24,17,1475,1,20,7,0,25,3,528,23,18,25,5,0,29,34,5,0
207,A. Reca,Dif,SPE,313.10,7.40,-0.60,30,24,2170,1,22,8,0,19,1,608,23,32,15,5,0,52,44,6,0
209,F. Depaoli,Dif,VER,310.60,6.40,0.30,34,25,2306,2,21,4,0,14,2,334,20,44,38,8,0,50,53,5,0
216,A. Soumaoro,Dif,BOL,306.10,9.00,-0.80,23,22,1870,0,2,1,0,2,0,996,1,21,12,3,1,32,25,5,0
221,J. Vasquez,Dif,CRE,302.50,8.50,0.00,25,19,1809,1,12,2,0,11,0,613,6,21,19,7,0,71,41,4,0
222,G. Medel,Dif,BOL,301.80,6.00,0.50,29,17,1476,0,2,0,0,4,1,984,7,19,16,5,0,43,25,2,0
223,F. Gatti,Dif,JUV,300.10,8.70,0.50,18,16,1446,0,13,4,0,8,0,803,6,16,13,4,0,32,15,8,0
225,B. Amione,Dif,SAM,299.10,6.90,0.40,27,26,2150,1,12,2,0,2,1,792,3,27,16,9,1,59,51,3,0
229,D. Bradaric,Dif,SAL,292.20,8.50,-1.60,31,24,2253,0,7,0,0,17,3,688,17,17,20,5,0,40,26,4,0
233,Marlon,Dif,MON,289.40,9.80,-4.10,28,18,1587,0,5,1,0,2,0,939,1,23,5,7,1,39,35,4,0
235,B. Nuytinck,Dif,SAM,287.50,8.80,-1.80,25,22,1884,0,5,0,0,1,1,664,3,27,10,5,0,70,61,3,0
236,A. Ferrari,Dif,CRE,287.30,7.80,-1.50,28,23,1879,0,5,0,0,7,0,702,6,20,20,6,0,72,49,2,0
239,K. Amian,Dif,SPE,283.00,7.40,-1.00,30,26,2373,0,26,7,0,16,1,637,18,37,5,5,1,54,54,4,0
240,K. Ehizibue,Dif,UDI,282.00,8.20,-0.90,27,16,1534,2,13,6,0,14,0,347,8,33,20,7,0,41,47,3,0
244,L. Lochoshvili,Dif,CRE,275.50,8.00,-1.00,25,22,1848,1,8,2,0,4,2,622,5,27,9,4,0,41,45,3,0
247,P. Dawidowicz,Dif,VER,272.50,8.40,-0.80,23,20,1634,1,11,2,0,1,1,593,5,37,13,6,1,54,48,3,0
252,A. Zanoli,Dif,SAM,264.20,7.50,0.50,23,16,1549,2,16,8,0,27,2,463,14,4,10,3,0,26,23,2,0
254,H. Hateboer,Dif,ATA,262.50,12.20,-3.40,17,17,1402,1,12,4,0,4,1,450,13,19,3,7,0,25,21,8,0
255,M. Bianchetti,Dif,CRE,260.50,6.60,-0.40,25,22,2129,1,7,4,0,2,0,726,5,18,10,5,0,39,32,3,0
258,J. Jesus,Dif,NAP,259.80,9.70,-1.20,15,10,929,1,5,1,0,0,0,663,2,10,5,2,0,21,16,6,0
259,E. Aiwu,Dif,CRE,259.60,7.50,-1.50,23,17,1652,0,3,1,0,2,0,610,4,21,15,3,0,59,55,4,0
261,P. Stojanovic,Dif,EMP,254.40,6.50,-1.70,27,16,1525,0,10,2,0,13,1,661,19,12,15,3,0,33,42,3,0
262,Z. Celik,Dif,ROM,254.30,8.30,-2.30,24,16,1501,0,5,1,0,5,1,537,16,26,6,5,1,36,43,5,0
266,J. Doig,Dif,VER,248.80,7.40,-1.70,22,15,1355,2,18,6,0,23,3,258,12,14,7,1,0,19,21,3,0
271,D. Faraoni,Dif,VER,244.30,12.00,-5.70,23,19,1492,2,20,5,0,7,3,282,11,21,11,7,0,39,34,3,0
276,Ruan Tressoldi,Dif,SAS,240.80,8.50,-1.70,23,21,1716,0,5,1,0,2,0,832,1,27,14,9,3,50,38,3,0
277,D. Bronn,Dif,SAL,239.70,7.10,-2.00,24,19,1681,0,8,1,0,6,0,835,5,29,10,5,1,38,35,2,0
278,K. Gunter,Dif,SAM,238.70,7.40,-1.90,23,19,1777,1,10,1,0,4,1,650,10,24,13,5,0,55,20,0,0
285,G. Magnani,Dif,VER,229.60,7.30,-1.30,24,19,1530,0,7,2,0,3,1,363,5,22,8,7,1,43,33,4,0
286,F. Ceccherini,Dif,VER,229.00,7.00,-1.10,22,18,1428,2,7,2,0,2,0,457,5,31,19,9,1,38,25,3,0
288,A. Terzic,Dif,FIO,225.70,5.60,0.60,22,8,926,1,9,2,0,16,1,456,25,4,12,2,0,14,16,2,0
291,S. Birindelli,Dif,MON,223.40,6.40,-2.90,31,14,1392,0,14,4,0,11,1,449,18,15,14,8,0,35,35,0,0
294,L. Bonucci,Dif,JUV,215.60,12.30,-5.10,16,9,875,1,5,2,0,1,0,507,4,11,5,2,0,17,5,5,0
295,C. Lykogiannis,Dif,BOL,212.60,7.00,-2.20,21,11,1104,2,19,6,0,4,0,418,18,14,11,3,0,23,16,1,0
302,S. Kjaer,Dif,MIL,205.90,9.00,-2.30,17,12,1010,0,0,0,0,0,0,590,0,8,1,4,0,17,15,4,0
303,O. Aina,Dif,TOR,203.90,6.50,-1.80,19,9,871,1,8,3,0,21,1,312,12,16,16,5,0,24,17,2,0
305,E. Holm,Dif,SPE,201.30,6.40,-1.50,20,17,1398,1,15,5,0,16,1,254,13,22,16,4,0,24,26,2,0
313,N. Zortea,Dif,SAS,196.60,8.00,-2.80,19,8,868,1,9,5,0,16,1,297,10,15,6,5,0,17,25,2,0
315,M. De Sciglio,Dif,JUV,192.40,6.30,-1.60,17,11,1046,0,4,0,0,2,0,372,8,4,11,0,0,11,14,5,0
316,C. Okoli,Dif,ATA,191.20,6.00,-1.50,17,9,951,0,7,2,0,0,0,331,0,15,8,3,0,47,21,3,0
317,B. Bereszynski,Dif,NAP,191.00,7.10,-2.40,18,17,1367,0,3,0,0,5,1,428,5,15,12,2,0,44,31,2,0
326,J. Palomino,Dif,ATA,178.20,8.10,-2.10,15,8,754,1,6,3,0,2,0,414,2,9,5,4,0,42,23,0,0
327,F. Fazio,Dif,SAL,177.10,6.40,-2.00,14,12,1074,1,11,2,0,4,0,398,3,11,6,2,1,40,15,3,0
328,D. D'Ambrosio,Dif,INT,175.70,8.10,-1.70,15,8,730,0,3,2,0,1,2,479,7,16,11,3,1,27,25,1,0
334,V. Chiriches,Dif,CRE,171.60,6.80,-2.10,16,14,986,0,0,0,0,3,0,344,1,16,8,2,0,42,35,1,0
340,J. Sambia,Dif,SAL,162.60,7.10,-3.40,22,7,688,0,13,5,0,10,1,246,7,11,17,3,0,13,12,1,0
341,E. Ebosse,Dif,UDI,162.60,5.80,-3.10,20,9,917,0,3,0,0,4,0,407,1,9,4,3,0,20,15,2,0
343,A. Masina,Dif,UDI,160.60,6.20,-1.10,14,8,786,2,2,2,0,3,0,308,2,11,1,2,0,17,10,2,0
345,M. Caldara,Dif,SPE,159.70,5.50,-2.60,20,13,1251,0,11,4,0,2,0,453,1,16,10,6,0,31,23,2,0
347,D. Coppola,Dif,VER,159.20,6.50,-2.50,19,11,1171,0,3,0,0,2,0,374,0,10,0,5,0,31,25,2,0
353,P. Wisniewski,Dif,SPE,155.30,9.60,-0.70,14,11,1000,1,6,3,0,2,0,411,3,13,7,3,0,17,13,2,0
354,K. Bonifazi,Dif,BOL,155.20,6.70,-1.50,13,9,901,0,2,0,0,5,0,642,2,6,1,2,0,20,13,2,0
355,M. Ruggeri,Dif,ATA,155.00,4.70,-1.00,15,8,823,0,10,1,0,4,1,417,10,10,5,3,0,24,17,1,0
359,L. Venuti,Dif,FIO,148.50,6.40,-2.50,17,9,922,0,7,4,0,3,1,410,8,7,9,2,0,12,18,2,0
360,J. Murillo,Dif,SAM,147.50,5.70,-2.40,20,12,1056,0,3,1,0,1,0,442,2,18,19,4,1,19,22,1,0
361,K. De Winter,Dif,EMP,145.90,7.10,-2.50,14,12,1023,0,0,0,0,1,0,423,2,13,2,3,0,15,15,3,0
363,R. Bellanova,Dif,INT,143.90,6.70,-2.70,18,3,487,0,4,1,0,7,0,201,3,4,9,0,0,10,14,1,0
371,B. Soppy,Dif,ATA,133.10,5.60,-2.80,16,9,738,0,9,3,0,7,3,200,13,20,22,3,0,10,9,0,0
373,D. Rugani,Dif,JUV,130.30,6.50,-1.70,9,6,563,0,4,1,0,1,0,231,0,5,0,0,0,7,7,5,0
374,F. Ballo-Toure,Dif,MIL,129.30,5.60,-1.40,10,5,518,1,5,3,0,5,0,182,4,5,13,0,0,11,14,1,0
377,F. Ebosele,Dif,UDI,127.00,6.40,-2.60,17,4,399,0,4,1,0,19,1,86,5,11,7,4,0,12,15,2,0
378,R. Karsdorp,Dif,ROM,125.30,10.90,-5.50,13,8,712,0,2,0,0,0,0,228,6,4,0,0,0,20,21,3,0
380,M. Lovato,Dif,SAL,125.10,6.50,-2.80,17,8,808,0,1,0,0,0,0,274,0,6,4,2,0,27,17,2,0
383,G. Pezzella,Dif,LEC,122.20,6.90,-3.30,16,10,921,0,4,0,0,6,1,316,7,16,11,2,0,17,21,0,0
384,P. Ghiglione,Dif,CRE,121.70,5.60,-2.60,15,8,709,1,7,2,0,2,1,115,13,16,7,4,0,15,16,3,0
385,Diego Llorente,Dif,ROM,120.40,10.80,-1.30,9,5,573,0,4,1,0,1,0,264,1,9,3,0,0,16,10,3,0
389,S. Walukiewicz,Dif,EMP,117.90,7.20,-2.00,11,6,601,0,2,1,0,4,0,345,1,5,2,0,0,13,9,1,0
390,L. De Silvestri,Dif,BOL,117.40,6.30,-3.10,15,6,667,1,5,3,0,2,0,268,6,6,6,1,0,5,3,1,0
392,M. Pongracic,Dif,LEC,116.90,7.80,-2.80,9,9,791,0,1,0,0,2,0,296,2,15,0,2,0,30,16,1,0
395,L. Ostigard,Dif,NAP,114.80,9.10,-2.60,7,4,416,0,3,0,0,0,0,305,0,2,4,1,0,7,4,3,0
397,G. Quagliata,Dif,CRE,110.90,4.80,-3.30,20,6,692,0,9,1,0,10,1,167,13,13,12,0,1,19,10,0,0
400,L. Ranieri,Dif,FIO,107.80,7.80,-2.00,9,5,505,0,1,0,0,1,0,275,2,6,2,1,0,15,9,2,0
402,M. Gabbia,Dif,MIL,106.50,4.30,-2.30,12,6,608,0,1,0,0,0,0,288,0,8,1,2,0,15,17,1,0
409,N. Murru,Dif,SAM,95.50,4.00,-2.40,20,5,774,0,2,0,0,0,0,233,2,15,6,3,0,23,24,0,0
412,W. Troost-Ekong,Dif,SAL,93.00,7.40,-1.00,9,4,440,1,2,1,0,0,0,147,0,7,1,1,0,9,11,0,0
415,L. Cacace,Dif,EMP,89.30,4.30,-1.90,12,5,580,0,7,1,0,8,0,271,7,9,4,1,0,14,25,0,0
417,J. Sosa,Dif,BOL,88.30,5.30,-2.20,10,7,687,0,3,1,0,3,0,307,0,16,7,2,0,8,6,2,0
420,D. Zima,Dif,TOR,79.40,6.80,-3.50,9,4,402,0,4,2,0,1,0,154,2,4,2,0,0,14,9,1,0
424,G. Donati,Dif,MON,70.80,5.00,-2.90,8,4,423,1,2,1,0,1,0,252,1,7,6,2,2,5,5,0,0
428,A. Tuia,Dif,LEC,67.40,4.00,-1.80,7,6,511,0,2,1,0,2,0,141,1,9,2,1,0,21,10,0,0
429,J. Cabal,Dif,VER,67.40,5.20,-2.80,11,3,440,0,1,1,0,3,0,156,2,7,2,3,0,19,10,0,0
434,M. Kumbulla,Dif,ROM,58.10,5.70,-3.50,7,5,260,0,1,0,0,0,0,157,1,3,5,1,1,8,4,1,0
435,S. Dest,Dif,MIL,57.70,8.60,-4.10,8,2,326,0,2,1,0,7,0,127,4,6,4,0,0,10,12,0,0
436,A. Gravillon,Dif,TOR,57.40,6.70,-1.50,7,4,312,0,1,0,0,1,0,129,0,9,1,2,0,12,3,1,0
442,A. Florenzi,Dif,MIL,51.90,6.00,-3.40,6,2,199,0,5,2,0,0,0,98,6,2,1,1,0,8,6,1,0
445,L. Pellegrini,Dif,LAZ,49.00,6.80,-1.70,7,1,175,0,3,0,0,3,0,110,4,5,1,3,0,7,1,1,0
446,V. Antov,Dif,MON,48.90,4.00,-2.80,9,2,300,0,0,0,0,1,0,192,1,4,2,2,0,9,6,0,0
454,S. Romagnoli,Dif,LEC,36.10,5.00,-1.50,7,1,164,0,1,0,0,0,0,61,0,3,0,0,0,6,6,0,0
463,M. Oikonomou,Dif,SAM,26.90,6.00,-0.60,6,3,219,0,3,0,0,0,0,62,0,3,2,3,0,6,3,0,0
466,F. Missori,Dif,ROM,24.90,4.90,-0.20,3,2,181,0,0,0,0,0,0,27,0,4,0,1,0,6,4,1,0
468,J. Hendry,Dif,CRE,24.50,7.10,-3.60,4,2,218,0,0,0,0,0,0,115,1,2,1,1,0,1,0,0,0
469,Mario Gila,Dif,LAZ,24.40,6.30,-4.00,4,0,86,0,0,0,0,0,0,54,0,1,1,0,0,4,3,0,0
472,Salvador Ferrer,Dif,SPE,23.40,4.70,-3.60,5,0,130,0,0,0,0,0,0,63,1,2,4,0,0,3,4,0,0
473,J. Sala,Dif,SPE,22.70,4.00,-1.90,6,1,108,0,0,0,0,0,0,34,1,3,3,1,0,1,1,0,0
475,F. Carboni,Dif,MON,20.80,4.80,-1.70,3,0,63,0,1,0,0,3,0,25,1,2,0,0,0,2,1,0,0
476,T. Barbieri,Dif,JUV,20.10,4.80,-0.30,3,2,109,0,0,0,0,1,0,35,0,5,4,0,0,3,3,0,0
478,Joao Moutinho,Dif,SPE,19.00,5.30,-2.30,4,0,57,0,0,0,0,0,0,25,1,1,0,0,0,1,7,0,0
481,L. Marrone,Dif,MON,15.90,4.40,-3.70,2,2,135,0,1,0,0,0,0,78,0,1,2,0,0,0,0,0,0
484,J. Abankwah,Dif,UDI,13.40,4.00,-0.30,2,1,63,0,0,0,0,1,0,19,0,2,1,0,0,1,1,0,0
488,P. Ceccaroni,Dif,LEC,11.00,6.20,-1.80,2,0,41,0,2,0,0,0,0,8,1,0,0,0,0,3,0,0,0
489,F. Romagna,Dif,SAS,7.70,4.00,-0.30,2,0,46,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
490,M. Muldur,Dif,SAS,7.60,5.50,-3.90,2,1,13,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
495,T. Cassandro,Dif,LEC,4.60,4.10,-2.00,1,0,12,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0
496,S. Radu,Dif,LAZ,4.10,4.00,-2.00,1,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
498,D. Zeefuik,Dif,VER,3.00,5.80,-2.10,1,0,9,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0
499,K. Dermaku,Dif,LEC,2.50,4.90,-3.90,1,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500,A. Conti,Dif,SAM,1.70,4.00,-2.80,1,0,22,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
508,M. Fares,Dif,LAZ,0.00,4.00,-1.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,D. Keramitsis,Dif,ROM,0.00,4.30,-0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,M. Lemmens,Dif,LEC,0.00,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,R. Nizet,Dif,LEC,0,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,L. Tonelli,Dif,EMP,-6.40,4.00,-3.20,1,0,18,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
