#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Falli,Falli subiti,Gialli,2 Gialli,Rossi,Errori Dec,Autogol,Intercetti,Rubati,Duelli Vinti,Duelli Persi,DA Vinti,DA Persi,Tackle
45,F. Dimarco,Dif,INT,512.30,12.00,-1.30,33,26,2088,12,30,0,0,0,0,0,18,43,72,54,5,12,32
47,N. Casale,Dif,LAZ,511.70,11.90,1.20,29,27,2436,22,7,6,0,0,1,0,17,37,95,64,46,28,42
49,N. Perez,Dif,UDI,511.10,11.60,-1.20,34,33,2828,29,11,7,0,1,0,1,35,75,128,81,36,22,77
53,F. Acerbi,Dif,INT,497.70,12.80,-1.00,31,25,2418,17,13,4,0,0,1,0,40,59,131,77,78,42,33
54,L. Martinez Quarta,Dif,FIO,495.80,11.10,2.00,27,25,2170,21,25,6,0,0,0,0,48,96,192,84,76,36,80
57,C. Biraghi,Dif,FIO,494.70,12.60,-2.20,33,30,2555,29,38,1,0,0,0,1,14,52,129,98,19,25,65
59,J. Bijol,Dif,UDI,494.40,11.90,-0.80,32,32,2732,29,7,10,0,0,0,0,29,52,136,92,88,47,40
63,J. Lucumi,Dif,BOL,488.00,11.10,0.30,33,33,2901,29,18,8,0,0,0,1,35,72,116,85,41,30,53
65,P. Kalulu,Dif,MIL,486.60,12.20,-3.20,34,26,2542,24,23,4,0,0,1,0,41,80,125,79,37,33,57
66,R. Rodriguez,Dif,TOR,484.90,10.20,1.10,35,30,2670,25,8,3,0,0,0,0,38,71,100,81,30,29,55
71,F. Baschirotto,Dif,LEC,480.80,9.10,2.00,37,37,3330,37,11,6,0,0,0,0,36,66,145,116,91,64,40
76,Dodo,Dif,FIO,469.80,12.60,-2.60,33,28,2338,28,40,3,1,1,0,0,25,47,131,96,19,15,40
77,E. Hysaj,Dif,LAZ,467.60,11.00,0.20,34,22,1992,19,14,3,0,0,0,0,20,43,83,82,24,24,39
82,Rogerio,Dif,SAS,461.60,9.60,0.60,36,34,2999,30,38,5,0,1,0,0,37,58,118,97,21,32,37
83,R. Becao,Dif,UDI,457.20,10.80,-0.20,28,28,2486,38,32,10,0,1,1,1,26,62,169,85,62,29,70
85,G. Scalvini,Dif,ATA,456.80,10.90,-0.20,32,29,2345,55,6,7,0,0,0,0,56,85,121,134,49,37,54
86,Mario Rui,Dif,NAP,456.20,14.50,-1.30,22,21,1761,19,31,2,0,1,0,0,15,37,85,74,14,25,34
88,L. Caldirola,Dif,MON,455.70,10.10,1.60,31,27,2360,30,26,6,0,0,0,0,25,39,87,77,34,32,26
91,M. Olivera,Dif,NAP,452.60,12.30,-0.90,30,17,1634,21,25,2,0,0,0,0,22,45,106,121,33,42,39
92,M. Darmian,Dif,INT,446.60,10.60,-0.40,31,24,2032,21,20,3,0,0,0,0,21,51,100,79,15,23,56
93,A. Bastoni,Dif,INT,446.40,13.50,-4.60,29,26,2168,19,15,3,0,0,0,0,24,44,103,69,40,22,41
99,D. Dumfries,Dif,INT,433.80,12.10,-5.60,34,25,2223,31,39,4,0,0,0,1,12,30,133,126,42,41,35
100,K. Djidji,Dif,TOR,431.90,8.80,1.40,34,26,2422,27,3,3,0,0,0,0,34,59,104,94,47,50,50
101,V. Gendrey,Dif,LEC,431.30,9.20,0.90,37,35,3103,23,27,4,0,0,0,0,37,94,178,125,48,43,88
102,S. de Vrij,Dif,INT,431.10,13.40,-4.20,27,22,1943,15,7,4,0,0,0,0,40,58,119,53,83,30,29
103,Pablo Mari,Dif,MON,430.80,11.90,-2.10,30,28,2489,31,9,4,0,0,1,0,31,50,106,74,59,27,37
105,J. Maehle,Dif,ATA,426.40,11.30,-4.40,34,25,2213,16,19,5,0,1,0,0,24,42,73,101,4,13,32
106,N. Milenkovic,Dif,FIO,425.90,13.30,-3.50,27,23,2136,39,21,4,0,0,0,1,22,47,134,78,73,30,40
109,A. Cambiaso,Dif,BOL,423.60,9.60,0.60,32,25,2169,26,30,2,0,0,0,0,26,60,119,126,3,24,58
111,D. Nikolaou,Dif,SPE,419.30,8.60,0.30,36,34,2962,27,20,9,0,1,0,0,27,59,105,80,30,29,45
112,P. Schuurs,Dif,TOR,414.30,11.40,-2.00,30,28,2333,31,3,5,0,0,0,0,28,53,123,100,60,49,51
116,W. Singo,Dif,TOR,411.50,11.60,-2.80,31,24,2056,42,35,8,0,0,0,0,12,29,144,102,53,23,27
122,M. Lazzari,Dif,LAZ,399.60,10.50,-1.50,28,22,1887,15,39,9,0,0,0,1,18,39,98,65,9,14,33
124,A. Sandro,Dif,JUV,395.60,11.80,-2.00,25,21,1786,27,25,5,0,1,1,0,15,35,118,75,40,22,35
128,E. Ampadu,Dif,SPE,392.90,10.00,-0.20,31,31,2649,44,20,9,1,1,0,0,36,73,155,112,61,40,66
131,T. Augello,Dif,SAM,390.60,8.80,-0.90,37,35,3066,14,26,3,0,0,0,0,16,30,113,99,38,33,17
139,D. Calabria,Dif,MIL,385.00,11.70,-1.60,25,21,1694,16,15,6,0,0,0,0,25,69,101,65,13,12,71
151,I. Hien,Dif,VER,364.60,9.10,-0.60,32,28,2607,52,23,9,0,0,0,0,31,68,191,149,80,53,74
153,E. Valeri,Dif,CRE,363.10,7.10,0.00,37,31,2790,27,37,3,0,0,0,0,22,49,122,156,13,26,54
155,M. Erlic,Dif,SAS,362.20,9.70,-1.60,28,26,2330,21,12,2,0,0,1,1,31,47,89,76,49,40,27
159,P. Mazzocchi,Dif,SAL,359.80,9.20,-0.30,27,23,1967,27,17,2,0,0,0,0,10,28,117,126,12,14,32
162,T. Ebuehi,Dif,EMP,354.20,8.80,1.00,26,22,1926,12,17,0,0,0,0,0,12,26,69,68,19,32,22
165,G. Ferrari,Dif,SAS,348.90,8.90,-3.40,33,24,2220,24,31,5,0,0,3,0,23,39,101,57,48,26,23
167,A. Ismajli,Dif,EMP,348.00,7.90,0.90,25,22,2090,19,13,3,0,0,0,1,27,59,112,68,57,41,40
172,Igor,Dif,FIO,342.50,10.10,-1.80,27,23,2058,29,13,8,1,1,1,0,25,54,103,76,39,28,43
173,L. Sernicola,Dif,CRE,342.30,7.80,-0.40,32,27,2317,40,43,11,0,0,0,0,38,71,139,115,29,22,45
175,R. Gosens,Dif,INT,339.70,11.80,-6.70,32,11,1167,17,3,2,0,0,0,0,23,41,63,49,20,12,34
176,J. Toljan,Dif,SAS,338.20,7.90,-1.20,31,29,2672,10,14,3,0,0,0,0,18,41,67,60,10,21,37
177,M. Skriniar,Dif,INT,337.50,14.00,-4.90,21,20,1771,35,14,3,1,1,0,1,13,31,63,69,17,18,29
183,D. Zappacosta,Dif,ATA,334.20,13.20,-1.90,21,18,1476,18,13,4,0,0,0,0,9,27,66,79,2,8,34
185,B. Djimsiti,Dif,ATA,332.80,11.20,-2.30,24,20,1799,15,8,3,0,0,0,0,36,55,104,73,58,43,34
186,M. Demiral,Dif,ATA,332.50,10.60,-5.30,28,14,1523,13,13,5,0,0,0,0,24,53,108,58,52,30,41
187,L. Pirola,Dif,SAL,332.20,9.20,0.00,26,23,1948,28,9,4,0,0,1,0,30,59,93,76,48,39,33
189,N. Gyomber,Dif,SAL,329.20,7.50,1.10,27,23,1752,22,7,5,0,0,0,0,35,58,86,56,45,25,32
190,L. Spinazzola,Dif,ROM,327.70,10.20,-3.00,26,18,1651,13,13,3,0,0,0,0,9,17,62,74,9,8,15
194,M. Vojvoda,Dif,TOR,324.00,9.30,-1.80,29,18,1716,19,7,3,0,0,1,0,10,22,49,74,10,18,22
195,A. Gallo,Dif,LEC,323.40,7.10,0.20,32,28,2484,13,17,3,1,1,0,2,13,49,111,78,25,29,56
196,F. Daniliuc,Dif,SAL,321.90,9.10,-0.90,27,23,2195,33,4,9,0,0,0,0,29,58,103,87,39,28,58
197,S. Umtiti,Dif,LEC,321.70,10.00,-1.00,25,24,2114,32,27,8,0,0,0,0,26,60,119,76,34,26,52
198,Patric,Dif,LAZ,321.20,8.90,1.10,18,16,1414,3,4,1,0,0,0,0,11,22,31,31,9,22,17
199,M. Thiaw,Dif,MIL,319.90,10.40,0.20,20,15,1364,14,7,5,0,0,0,0,12,38,91,55,52,26,31
205,G. Kyriakopoulos,Dif,BOL,314.00,9.20,-1.50,24,17,1475,18,25,5,0,0,0,0,15,29,96,101,12,24,34
207,A. Reca,Dif,SPE,313.10,7.40,-0.60,30,24,2170,32,15,5,0,0,0,0,24,52,97,111,19,22,44
209,F. Depaoli,Dif,VER,310.60,6.40,0.30,34,25,2306,44,38,8,0,0,1,0,19,50,129,152,24,41,53
216,A. Soumaoro,Dif,BOL,306.10,9.00,-0.80,23,22,1870,21,12,3,1,1,0,0,15,32,70,38,31,15,25
221,J. Vasquez,Dif,CRE,302.50,8.50,0.00,25,19,1809,21,19,7,0,0,0,0,45,71,106,92,35,44,41
222,G. Medel,Dif,BOL,301.80,6.00,0.50,29,17,1476,19,16,5,0,0,0,0,28,43,60,46,15,15,25
223,F. Gatti,Dif,JUV,300.10,8.70,0.50,18,16,1446,16,13,4,0,0,0,0,21,32,68,56,32,27,15
225,B. Amione,Dif,SAM,299.10,6.90,0.40,27,26,2150,27,16,9,1,1,0,0,25,59,138,101,70,43,51
229,D. Bradaric,Dif,SAL,292.20,8.50,-1.60,31,24,2253,17,20,5,0,0,0,0,21,40,77,87,14,25,26
233,Marlon,Dif,MON,289.40,9.80,-4.10,28,18,1587,23,5,7,0,1,0,1,18,39,82,61,40,21,35
235,B. Nuytinck,Dif,SAM,287.50,8.80,-1.80,25,22,1884,27,10,5,0,0,0,0,28,70,108,84,36,41,61
236,A. Ferrari,Dif,CRE,287.30,7.80,-1.50,28,23,1879,20,20,6,0,0,0,0,44,72,112,68,36,21,49
239,K. Amian,Dif,SPE,283.00,7.40,-1.00,30,26,2373,37,5,5,1,1,0,0,22,54,109,105,34,35,54
240,K. Ehizibue,Dif,UDI,282.00,8.20,-0.90,27,16,1534,33,20,7,0,0,0,0,10,41,96,95,15,17,47
244,L. Lochoshvili,Dif,CRE,275.50,8.00,-1.00,25,22,1848,27,9,4,0,0,0,0,22,41,96,75,38,33,45
247,P. Dawidowicz,Dif,VER,272.50,8.40,-0.80,23,20,1634,37,13,6,0,1,0,0,23,54,105,79,43,27,48
252,A. Zanoli,Dif,SAM,264.20,7.50,0.50,23,16,1549,4,10,3,0,0,0,0,12,26,70,54,10,20,23
254,H. Hateboer,Dif,ATA,262.50,12.20,-3.40,17,17,1402,19,3,7,0,0,0,0,12,25,52,56,24,14,21
255,M. Bianchetti,Dif,CRE,260.50,6.60,-0.40,25,22,2129,18,10,5,0,0,0,0,20,39,107,74,63,40,32
258,J. Jesus,Dif,NAP,259.80,9.70,-1.20,15,10,929,10,5,2,0,0,0,0,10,21,51,22,30,9,16
259,E. Aiwu,Dif,CRE,259.60,7.50,-1.50,23,17,1652,21,15,3,0,0,1,0,25,59,100,59,28,18,55
261,P. Stojanovic,Dif,EMP,254.40,6.50,-1.70,27,16,1525,12,15,3,0,0,0,0,11,33,74,66,4,7,42
262,Z. Celik,Dif,ROM,254.30,8.30,-2.30,24,16,1501,26,6,5,1,1,0,0,15,36,65,75,11,13,43
266,J. Doig,Dif,VER,248.80,7.40,-1.70,22,15,1355,14,7,1,0,0,0,0,11,19,67,81,16,23,21
271,D. Faraoni,Dif,VER,244.30,12.00,-5.70,23,19,1492,21,11,7,0,0,0,0,15,39,66,80,14,21,34
276,Ruan Tressoldi,Dif,SAS,240.80,8.50,-1.70,23,21,1716,27,14,9,2,3,1,1,24,50,105,77,51,36,38
277,D. Bronn,Dif,SAL,239.70,7.10,-2.00,24,19,1681,29,10,5,0,1,0,0,20,38,85,66,34,23,35
278,K. Gunter,Dif,SAM,238.70,7.40,-1.90,23,19,1777,24,13,5,0,0,0,0,41,55,83,60,46,30,20
285,G. Magnani,Dif,VER,229.60,7.30,-1.30,24,19,1530,22,8,7,0,1,0,1,21,43,77,52,34,21,33
286,F. Ceccherini,Dif,VER,229.00,7.00,-1.10,22,18,1428,31,19,9,0,1,0,0,19,38,76,67,30,18,25
288,A. Terzic,Dif,FIO,225.70,5.60,0.60,22,8,926,4,12,2,0,0,0,0,5,14,51,37,7,9,16
291,S. Birindelli,Dif,MON,223.40,6.40,-2.90,31,14,1392,15,14,8,0,0,0,0,16,35,66,56,6,9,35
294,L. Bonucci,Dif,JUV,215.60,12.30,-5.10,16,9,875,11,5,2,0,0,0,0,13,17,31,36,20,23,5
295,C. Lykogiannis,Dif,BOL,212.60,7.00,-2.20,21,11,1104,14,11,3,0,0,0,0,15,23,49,46,18,16,16
302,S. Kjaer,Dif,MIL,205.90,9.00,-2.30,17,12,1010,8,1,4,0,0,0,0,9,17,35,26,19,14,15
303,O. Aina,Dif,TOR,203.90,6.50,-1.80,19,9,871,16,16,5,0,0,0,0,11,24,66,59,12,10,17
305,E. Holm,Dif,SPE,201.30,6.40,-1.50,20,17,1398,22,16,4,0,0,0,0,9,24,123,141,65,63,26
313,N. Zortea,Dif,SAS,196.60,8.00,-2.80,19,8,868,15,6,5,0,0,0,0,4,17,58,55,11,9,25
315,M. De Sciglio,Dif,JUV,192.40,6.30,-1.60,17,11,1046,4,11,0,0,0,0,0,4,11,37,30,10,11,14
316,C. Okoli,Dif,ATA,191.20,6.00,-1.50,17,9,951,15,8,3,0,0,1,0,30,47,72,60,43,25,21
317,B. Bereszynski,Dif,NAP,191.00,7.10,-2.40,18,17,1367,15,12,2,0,0,0,0,24,44,68,53,20,12,31
326,J. Palomino,Dif,ATA,178.20,8.10,-2.10,15,8,754,9,5,4,0,0,0,1,28,42,54,33,24,13,23
327,F. Fazio,Dif,SAL,177.10,6.40,-2.00,14,12,1074,11,6,2,0,1,0,0,28,40,61,40,36,13,15
328,D. D'Ambrosio,Dif,INT,175.70,8.10,-1.70,15,8,730,16,11,3,0,1,0,0,10,27,45,40,8,9,25
334,V. Chiriches,Dif,CRE,171.60,6.80,-2.10,16,14,986,16,8,2,0,0,0,1,22,42,64,50,18,22,35
340,J. Sambia,Dif,SAL,162.60,7.10,-3.40,22,7,688,11,17,3,0,0,0,0,8,13,54,50,15,10,12
341,E. Ebosse,Dif,UDI,162.60,5.80,-3.10,20,9,917,9,4,3,0,0,0,0,11,20,38,31,15,14,15
343,A. Masina,Dif,UDI,160.60,6.20,-1.10,14,8,786,11,1,2,0,0,1,0,10,17,40,32,26,11,10
345,M. Caldara,Dif,SPE,159.70,5.50,-2.60,20,13,1251,16,10,6,0,0,2,1,17,31,70,56,35,25,23
347,D. Coppola,Dif,VER,159.20,6.50,-2.50,19,11,1171,10,0,5,0,0,0,0,14,31,74,61,47,34,25
353,P. Wisniewski,Dif,SPE,155.30,9.60,-0.70,14,11,1000,13,7,3,0,0,0,2,11,17,62,47,40,16,13
354,K. Bonifazi,Dif,BOL,155.20,6.70,-1.50,13,9,901,6,1,2,0,0,0,0,12,20,27,36,8,17,13
355,M. Ruggeri,Dif,ATA,155.00,4.70,-1.00,15,8,823,10,5,3,0,0,0,0,12,24,39,32,13,6,17
359,L. Venuti,Dif,FIO,148.50,6.40,-2.50,17,9,922,7,9,2,0,0,2,0,5,12,40,26,10,9,18
360,J. Murillo,Dif,SAM,147.50,5.70,-2.40,20,12,1056,18,19,4,1,1,0,1,8,19,70,47,28,20,22
361,K. De Winter,Dif,EMP,145.90,7.10,-2.50,14,12,1023,13,2,3,0,0,0,0,6,15,34,34,16,11,15
363,R. Bellanova,Dif,INT,143.90,6.70,-2.70,18,3,487,4,9,0,0,0,0,0,4,10,33,19,3,3,14
371,B. Soppy,Dif,ATA,133.10,5.60,-2.80,16,9,738,20,22,3,0,0,0,0,4,10,43,51,6,2,9
373,D. Rugani,Dif,JUV,130.30,6.50,-1.70,9,6,563,5,0,0,0,0,0,0,7,7,19,14,11,9,7
374,F. Ballo-Toure,Dif,MIL,129.30,5.60,-1.40,10,5,518,5,13,0,0,0,0,0,2,11,45,28,13,5,14
377,F. Ebosele,Dif,UDI,127.00,6.40,-2.60,17,4,399,11,7,4,0,0,0,0,2,12,47,42,6,4,15
378,R. Karsdorp,Dif,ROM,125.30,10.90,-5.50,13,8,712,4,0,0,0,0,1,0,7,20,26,26,5,2,21
380,M. Lovato,Dif,SAL,125.10,6.50,-2.80,17,8,808,6,4,2,0,0,1,0,13,27,36,40,15,17,17
383,G. Pezzella,Dif,LEC,122.20,6.90,-3.30,16,10,921,16,11,2,0,0,0,0,8,17,49,51,11,8,21
384,P. Ghiglione,Dif,CRE,121.70,5.60,-2.60,15,8,709,16,7,4,0,0,0,0,4,15,30,49,5,8,16
385,Diego Llorente,Dif,ROM,120.40,10.80,-1.30,9,5,573,9,3,0,0,0,0,0,11,16,26,22,12,5,10
389,S. Walukiewicz,Dif,EMP,117.90,7.20,-2.00,11,6,601,5,2,0,0,0,0,0,7,13,19,15,4,7,9
390,L. De Silvestri,Dif,BOL,117.40,6.30,-3.10,15,6,667,6,6,1,0,0,0,1,3,5,25,28,14,12,3
392,M. Pongracic,Dif,LEC,116.90,7.80,-2.80,9,9,791,15,0,2,0,0,0,0,16,30,27,26,9,10,16
395,L. Ostigard,Dif,NAP,114.80,9.10,-2.60,7,4,416,2,4,1,0,0,0,0,6,7,38,9,30,7,4
397,G. Quagliata,Dif,CRE,110.90,4.80,-3.30,20,6,692,13,12,0,0,1,0,0,11,19,34,48,2,14,10
400,L. Ranieri,Dif,FIO,107.80,7.80,-2.00,9,5,505,6,2,1,0,0,0,0,11,15,23,23,11,14,9
402,M. Gabbia,Dif,MIL,106.50,4.30,-2.30,12,6,608,8,1,2,0,0,0,0,5,15,33,14,15,5,17
409,N. Murru,Dif,SAM,95.50,4.00,-2.40,20,5,774,15,6,3,0,0,0,0,9,23,38,29,8,8,24
412,W. Troost-Ekong,Dif,SAL,93.00,7.40,-1.00,9,4,440,7,1,1,0,0,0,0,6,9,30,17,18,9,11
415,L. Cacace,Dif,EMP,89.30,4.30,-1.90,12,5,580,9,4,1,0,0,0,0,4,14,44,51,7,20,25
417,J. Sosa,Dif,BOL,88.30,5.30,-2.20,10,7,687,16,7,2,0,0,0,0,6,8,30,42,14,12,6
420,D. Zima,Dif,TOR,79.40,6.80,-3.50,9,4,402,4,2,0,0,0,1,0,9,14,27,15,15,9,9
424,G. Donati,Dif,MON,70.80,5.00,-2.90,8,4,423,7,6,2,1,2,0,0,4,5,16,14,4,3,5
428,A. Tuia,Dif,LEC,67.40,4.00,-1.80,7,6,511,9,2,1,0,0,0,0,15,21,24,31,10,14,10
429,J. Cabal,Dif,VER,67.40,5.20,-2.80,11,3,440,7,2,3,0,0,0,0,13,19,33,30,18,15,10
434,M. Kumbulla,Dif,ROM,58.10,5.70,-3.50,7,5,260,3,5,1,0,1,0,0,4,8,16,8,7,4,4
435,S. Dest,Dif,MIL,57.70,8.60,-4.10,8,2,326,6,4,0,0,0,0,0,4,10,26,21,3,1,12
436,A. Gravillon,Dif,TOR,57.40,6.70,-1.50,7,4,312,9,1,2,0,0,0,0,9,12,11,16,6,5,3
442,A. Florenzi,Dif,MIL,51.90,6.00,-3.40,6,2,199,2,1,1,0,0,0,0,4,8,8,6,1,0,6
445,L. Pellegrini,Dif,LAZ,49.00,6.80,-1.70,7,1,175,5,1,3,0,0,0,0,7,7,8,21,3,7,1
446,V. Antov,Dif,MON,48.90,4.00,-2.80,9,2,300,4,2,2,0,0,1,0,4,9,15,21,6,11,6
454,S. Romagnoli,Dif,LEC,36.10,5.00,-1.50,7,1,164,3,0,0,0,0,0,0,1,6,16,11,10,8,6
463,M. Oikonomou,Dif,SAM,26.90,6.00,-0.60,6,3,219,3,2,3,0,0,0,0,4,6,9,7,4,2,3
466,F. Missori,Dif,ROM,24.90,4.90,-0.20,3,2,181,4,0,1,0,0,0,0,3,6,6,12,2,2,4
468,J. Hendry,Dif,CRE,24.50,7.10,-3.60,4,2,218,2,1,1,0,0,0,0,1,1,9,7,8,3,0
469,Mario Gila,Dif,LAZ,24.40,6.30,-4.00,4,0,86,1,1,0,0,0,0,0,3,4,4,6,0,3,3
472,Salvador Ferrer,Dif,SPE,23.40,4.70,-3.60,5,0,130,2,4,0,0,0,0,0,1,3,13,8,5,3,4
473,J. Sala,Dif,SPE,22.70,4.00,-1.90,6,1,108,3,3,1,0,0,0,0,1,1,5,7,1,0,1
475,F. Carboni,Dif,MON,20.80,4.80,-1.70,3,0,63,2,0,0,0,0,0,0,1,2,5,9,1,1,1
476,T. Barbieri,Dif,JUV,20.10,4.80,-0.30,3,2,109,5,4,0,0,0,0,0,0,3,8,13,0,2,3
478,Joao Moutinho,Dif,SPE,19.00,5.30,-2.30,4,0,57,1,0,0,0,0,0,0,0,1,7,3,0,1,7
481,L. Marrone,Dif,MON,15.90,4.40,-3.70,2,2,135,1,2,0,0,0,0,0,0,0,6,7,4,5,0
484,J. Abankwah,Dif,UDI,13.40,4.00,-0.30,2,1,63,2,1,0,0,0,0,0,0,1,5,3,2,0,1
488,P. Ceccaroni,Dif,LEC,11.00,6.20,-1.80,2,0,41,0,0,0,0,0,0,0,3,3,0,0,0,0,0
489,F. Romagna,Dif,SAS,7.70,4.00,-0.30,2,0,46,0,0,0,0,0,0,0,0,0,2,0,2,0,0
490,M. Muldur,Dif,SAS,7.60,5.50,-3.90,2,1,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0
495,T. Cassandro,Dif,LEC,4.60,4.10,-2.00,1,0,12,1,0,0,0,0,0,0,0,1,1,1,0,0,1
496,S. Radu,Dif,LAZ,4.10,4.00,-2.00,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
498,D. Zeefuik,Dif,VER,3.00,5.80,-2.10,1,0,9,0,0,0,0,0,0,0,0,1,1,1,0,0,1
499,K. Dermaku,Dif,LEC,2.50,4.90,-3.90,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,A. Conti,Dif,SAM,1.70,4.00,-2.80,1,0,22,0,1,0,0,0,0,0,0,0,1,1,0,0,0
508,M. Fares,Dif,LAZ,0.00,4.00,-1.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,D. Keramitsis,Dif,ROM,0.00,4.30,-0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,M. Lemmens,Dif,LEC,0.00,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,R. Nizet,Dif,LEC,0,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,L. Tonelli,Dif,EMP,-6.40,4.00,-3.20,1,0,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0
