#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Ass,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Cross no Corner
159,P. Mazzocchi,Dif,SAL,359.80,9.20,-0.30,27,23,1967,3,670,535,79.85,30,1,90,22,71
162,T. Ebuehi,Dif,EMP,354.20,8.80,1.00,26,22,1926,4,663,534,80.54,12,3,28,10,28
165,G. Ferrari,Dif,SAS,348.90,8.90,-3.40,33,24,2220,0,1279,1104,86.32,4,0,6,1,6
167,A. Ismajli,Dif,EMP,348.00,7.90,0.90,25,22,2090,0,1027,870,84.71,5,0,0,0,0
172,Igor,Dif,FIO,342.50,10.10,-1.80,27,23,2058,0,1312,1155,88.03,3,0,1,0,1
173,L. Sernicola,Dif,CRE,342.30,7.80,-0.40,32,27,2317,2,643,467,72.63,25,4,118,35,107
175,R. Gosens,Dif,INT,339.70,11.80,-6.70,32,11,1167,0,528,426,80.68,16,1,43,9,43
176,J. Toljan,Dif,SAS,338.20,7.90,-1.20,31,29,2672,1,1304,1092,83.74,22,4,28,10,28
177,M. Skriniar,Dif,INT,337.50,14.00,-4.90,21,20,1771,0,1368,1255,91.74,6,0,5,1,5
183,D. Zappacosta,Dif,ATA,334.20,13.20,-1.90,21,18,1476,2,676,589,87.13,15,3,59,13,54
185,B. Djimsiti,Dif,ATA,332.80,11.20,-2.30,24,20,1799,1,1077,938,87.09,4,0,0,0,0
186,M. Demiral,Dif,ATA,332.50,10.60,-5.30,28,14,1523,0,649,557,85.82,4,1,2,1,2
187,L. Pirola,Dif,SAL,332.20,9.20,0.00,26,23,1948,0,977,787,80.55,3,0,1,0,1
189,N. Gyomber,Dif,SAL,329.20,7.50,1.10,27,23,1752,1,735,616,83.81,3,1,5,1,5
190,L. Spinazzola,Dif,ROM,327.70,10.20,-3.00,26,18,1651,4,763,588,77.06,21,4,57,15,57
194,M. Vojvoda,Dif,TOR,324.00,9.30,-1.80,29,18,1716,5,943,743,78.79,23,6,43,8,37
195,A. Gallo,Dif,LEC,323.40,7.10,0.20,32,28,2484,1,911,631,69.26,38,1,89,26,89
196,F. Daniliuc,Dif,SAL,321.90,9.10,-0.90,27,23,2195,2,1115,960,86.1,7,1,0,0,0
197,S. Umtiti,Dif,LEC,321.70,10.00,-1.00,25,24,2114,0,858,720,84.11,3,0,2,1,2
198,Patric,Dif,LAZ,321.20,8.90,1.10,18,16,1414,0,1061,947,89.26,2,0,0,0,0
199,M. Thiaw,Dif,MIL,319.90,10.40,0.20,20,15,1364,0,1049,927,88.54,2,0,2,0,2
205,G. Kyriakopoulos,Dif,BOL,314.00,9.20,-1.50,24,17,1475,3,646,528,81.73,23,3,77,23,60
207,A. Reca,Dif,SPE,313.10,7.40,-0.60,30,24,2170,1,851,608,71.45,23,2,98,27,98
209,F. Depaoli,Dif,VER,310.60,6.40,0.30,34,25,2306,2,514,334,65.11,20,1,68,22,66
216,A. Soumaoro,Dif,BOL,306.10,9.00,-0.80,23,22,1870,0,1068,996,93.26,1,0,0,0,0
221,J. Vasquez,Dif,CRE,302.50,8.50,0.00,25,19,1809,0,775,613,79.1,6,0,4,1,4
222,G. Medel,Dif,BOL,301.80,6.00,0.50,29,17,1476,1,1096,984,89.78,7,1,4,0,4
223,F. Gatti,Dif,JUV,300.10,8.70,0.50,18,16,1446,0,943,803,85.24,6,1,3,0,3
225,B. Amione,Dif,SAM,299.10,6.90,0.40,27,26,2150,1,989,792,80.08,3,0,5,1,5
229,D. Bradaric,Dif,SAL,292.20,8.50,-1.60,31,24,2253,3,872,688,78.9,17,2,68,13,66
233,Marlon,Dif,MON,289.40,9.80,-4.10,28,18,1587,0,1017,939,92.42,1,1,5,4,5
235,B. Nuytinck,Dif,SAM,287.50,8.80,-1.80,25,22,1884,1,781,664,85.02,3,1,0,0,0
236,A. Ferrari,Dif,CRE,287.30,7.80,-1.50,28,23,1879,0,877,702,80.05,6,1,10,1,10
239,K. Amian,Dif,SPE,283.00,7.40,-1.00,30,26,2373,1,846,637,75.3,18,3,39,11,38
240,K. Ehizibue,Dif,UDI,282.00,8.20,-0.90,27,16,1534,0,459,347,75.93,8,2,36,8,36
244,L. Lochoshvili,Dif,CRE,275.50,8.00,-1.00,25,22,1848,2,778,622,79.95,5,1,6,1,6
247,P. Dawidowicz,Dif,VER,272.50,8.40,-0.80,23,20,1634,1,774,593,76.62,5,1,13,0,13
252,A. Zanoli,Dif,SAM,264.20,7.50,0.50,23,16,1549,2,582,463,79.69,14,0,34,10,34
254,H. Hateboer,Dif,ATA,262.50,12.20,-3.40,17,17,1402,1,551,450,81.67,13,2,23,7,23
255,M. Bianchetti,Dif,CRE,260.50,6.60,-0.40,25,22,2129,0,927,726,78.32,5,1,3,2,3
258,J. Jesus,Dif,NAP,259.80,9.70,-1.20,15,10,929,0,734,663,90.33,2,0,0,0,0
259,E. Aiwu,Dif,CRE,259.60,7.50,-1.50,23,17,1652,0,744,610,81.99,4,0,4,1,4
261,P. Stojanovic,Dif,EMP,254.40,6.50,-1.70,27,16,1525,1,817,661,81,19,0,35,9,34
262,Z. Celik,Dif,ROM,254.30,8.30,-2.30,24,16,1501,1,704,537,76.28,16,5,41,10,41
266,J. Doig,Dif,VER,248.80,7.40,-1.70,22,15,1355,3,369,258,69.92,12,2,46,11,44
271,D. Faraoni,Dif,VER,244.30,12.00,-5.70,23,19,1492,3,421,282,67.14,11,2,37,9,37
276,Ruan Tressoldi,Dif,SAS,240.80,8.50,-1.70,23,21,1716,0,935,832,88.98,1,0,0,0,0
277,D. Bronn,Dif,SAL,239.70,7.10,-2.00,24,19,1681,0,972,835,85.91,5,0,7,1,7
278,K. Gunter,Dif,SAM,238.70,7.40,-1.90,23,19,1777,1,816,650,79.66,10,1,4,2,4
285,G. Magnani,Dif,VER,229.60,7.30,-1.30,24,19,1530,1,489,363,74.23,5,0,4,2,4
286,F. Ceccherini,Dif,VER,229.00,7.00,-1.10,22,18,1428,0,589,457,77.59,5,0,6,2,6
288,A. Terzic,Dif,FIO,225.70,5.60,0.60,22,8,926,1,531,456,85.88,25,2,79,31,74
291,S. Birindelli,Dif,MON,223.40,6.40,-2.90,31,14,1392,1,593,449,76.1,18,1,70,20,70
294,L. Bonucci,Dif,JUV,215.60,12.30,-5.10,16,9,875,0,578,507,87.72,4,0,0,0,0
295,C. Lykogiannis,Dif,BOL,212.60,7.00,-2.20,21,11,1104,0,555,418,75.32,18,1,69,17,60
302,S. Kjaer,Dif,MIL,205.90,9.00,-2.30,17,12,1010,0,680,590,86.76,0,0,2,0,2
303,O. Aina,Dif,TOR,203.90,6.50,-1.80,19,9,871,1,408,312,76.85,12,4,35,12,35
305,E. Holm,Dif,SPE,201.30,6.40,-1.50,20,17,1398,1,414,254,61.35,13,3,50,7,50
313,N. Zortea,Dif,SAS,196.60,8.00,-2.80,19,8,868,1,389,297,76.74,10,2,43,7,41
315,M. De Sciglio,Dif,JUV,192.40,6.30,-1.60,17,11,1046,0,456,372,81.58,8,0,26,6,26
316,C. Okoli,Dif,ATA,191.20,6.00,-1.50,17,9,951,0,437,331,75.74,0,0,2,0,2
317,B. Bereszynski,Dif,NAP,191.00,7.10,-2.40,18,17,1367,1,562,428,76.16,5,1,31,3,31
326,J. Palomino,Dif,ATA,178.20,8.10,-2.10,15,8,754,0,501,414,82.63,2,1,5,2,5
327,F. Fazio,Dif,SAL,177.10,6.40,-2.00,14,12,1074,0,517,398,76.98,3,0,4,0,4
328,D. D'Ambrosio,Dif,INT,175.70,8.10,-1.70,15,8,730,2,534,479,89.7,7,1,9,2,9
334,V. Chiriches,Dif,CRE,171.60,6.80,-2.10,16,14,986,0,410,344,83.9,1,0,0,0,0
340,J. Sambia,Dif,SAL,162.60,7.10,-3.40,22,7,688,1,292,246,84.25,7,3,33,6,26
341,E. Ebosse,Dif,UDI,162.60,5.80,-3.10,20,9,917,0,482,407,84.44,1,0,15,2,15
343,A. Masina,Dif,UDI,160.60,6.20,-1.10,14,8,786,0,389,308,79.18,2,0,10,4,10
345,M. Caldara,Dif,SPE,159.70,5.50,-2.60,20,13,1251,0,588,453,77.17,1,0,1,0,1
347,D. Coppola,Dif,VER,159.20,6.50,-2.50,19,11,1171,0,508,374,73.62,0,0,3,1,3
353,P. Wisniewski,Dif,SPE,155.30,9.60,-0.70,14,11,1000,0,488,411,84.22,3,1,2,0,2
354,K. Bonifazi,Dif,BOL,155.20,6.70,-1.50,13,9,901,0,718,642,89.42,2,0,2,0,2
355,M. Ruggeri,Dif,ATA,155.00,4.70,-1.00,15,8,823,1,495,417,84.24,10,3,38,12,37
359,L. Venuti,Dif,FIO,148.50,6.40,-2.50,17,9,922,1,483,410,84.89,8,0,37,9,32
360,J. Murillo,Dif,SAM,147.50,5.70,-2.40,20,12,1056,0,529,442,83.55,2,0,1,0,1
361,K. De Winter,Dif,EMP,145.90,7.10,-2.50,14,12,1023,0,493,423,85.8,2,0,0,0,0
363,R. Bellanova,Dif,INT,143.90,6.70,-2.70,18,3,487,0,242,201,83.06,3,1,32,5,32
371,B. Soppy,Dif,ATA,133.10,5.60,-2.80,16,9,738,3,263,200,76.05,13,4,20,4,20
373,D. Rugani,Dif,JUV,130.30,6.50,-1.70,9,6,563,0,262,231,88.17,0,0,0,0,0
374,F. Ballo-Toure,Dif,MIL,129.30,5.60,-1.40,10,5,518,0,208,182,87.5,4,1,17,6,17
377,F. Ebosele,Dif,UDI,127.00,6.40,-2.60,17,4,399,1,122,86,71.07,5,1,16,5,16
378,R. Karsdorp,Dif,ROM,125.30,10.90,-5.50,13,8,712,0,296,228,77.03,6,1,14,1,14
380,M. Lovato,Dif,SAL,125.10,6.50,-2.80,17,8,808,0,324,274,85.09,0,0,0,0,0
383,G. Pezzella,Dif,LEC,122.20,6.90,-3.30,16,10,921,1,390,316,81.03,7,1,34,4,33
384,P. Ghiglione,Dif,CRE,121.70,5.60,-2.60,15,8,709,1,191,115,62.5,13,0,39,16,37
385,Diego Llorente,Dif,ROM,120.40,10.80,-1.30,9,5,573,0,298,264,88.59,1,0,0,0,0
389,S. Walukiewicz,Dif,EMP,117.90,7.20,-2.00,11,6,601,0,394,345,87.56,1,0,0,0,0
390,L. De Silvestri,Dif,BOL,117.40,6.30,-3.10,15,6,667,0,351,268,76.35,6,0,7,1,7
392,M. Pongracic,Dif,LEC,116.90,7.80,-2.80,9,9,791,0,361,296,81.99,2,0,0,0,0
395,L. Ostigard,Dif,NAP,114.80,9.10,-2.60,7,4,416,0,355,305,85.92,0,0,0,0,0
397,G. Quagliata,Dif,CRE,110.90,4.80,-3.30,20,6,692,1,223,167,75.23,13,0,54,15,47
400,L. Ranieri,Dif,FIO,107.80,7.80,-2.00,9,5,505,0,327,275,84.1,2,0,0,0,0
402,M. Gabbia,Dif,MIL,106.50,4.30,-2.30,12,6,608,0,356,288,80.9,0,0,2,0,2
409,N. Murru,Dif,SAM,95.50,4.00,-2.40,20,5,774,0,291,233,80.07,2,0,9,3,9
412,W. Troost-Ekong,Dif,SAL,93.00,7.40,-1.00,9,4,440,0,178,147,82.58,0,0,1,1,1
415,L. Cacace,Dif,EMP,89.30,4.30,-1.90,12,5,580,0,322,271,84.16,7,1,29,5,27
417,J. Sosa,Dif,BOL,88.30,5.30,-2.20,10,7,687,0,378,307,81.22,0,0,1,1,1
420,D. Zima,Dif,TOR,79.40,6.80,-3.50,9,4,402,0,197,154,78.17,2,0,0,0,0
424,G. Donati,Dif,MON,70.80,5.00,-2.90,8,4,423,0,286,252,88.11,1,0,9,1,9
428,A. Tuia,Dif,LEC,67.40,4.00,-1.80,7,6,511,0,203,141,69.46,1,0,1,1,1
429,J. Cabal,Dif,VER,67.40,5.20,-2.80,11,3,440,0,208,156,75,2,0,8,3,8
434,M. Kumbulla,Dif,ROM,58.10,5.70,-3.50,7,5,260,0,180,157,87.22,1,0,0,0,0
435,S. Dest,Dif,MIL,57.70,8.60,-4.10,8,2,326,0,151,127,84.11,4,0,4,1,4
436,A. Gravillon,Dif,TOR,57.40,6.70,-1.50,7,4,312,0,157,129,82.17,0,0,3,0,3
442,A. Florenzi,Dif,MIL,51.90,6.00,-3.40,6,2,199,0,127,98,77.17,6,0,22,11,16
445,L. Pellegrini,Dif,LAZ,49.00,6.80,-1.70,7,1,175,0,128,110,85.94,4,0,15,6,15
446,V. Antov,Dif,MON,48.90,4.00,-2.80,9,2,300,0,215,192,89.3,1,0,2,0,2
454,S. Romagnoli,Dif,LEC,36.10,5.00,-1.50,7,1,164,0,74,61,82.43,0,0,0,0,0
463,M. Oikonomou,Dif,SAM,26.90,6.00,-0.60,6,3,219,0,82,62,75.61,0,0,0,0,0
466,F. Missori,Dif,ROM,24.90,4.90,-0.20,3,2,181,0,36,27,75,0,0,2,0,2
468,J. Hendry,Dif,CRE,24.50,7.10,-3.60,4,2,218,0,131,115,87.79,1,0,1,0,1
469,Mario Gila,Dif,LAZ,24.40,6.30,-4.00,4,0,86,0,59,54,91.53,0,0,0,0,0
472,Salvador Ferrer,Dif,SPE,23.40,4.70,-3.60,5,0,130,0,81,63,77.78,1,0,1,0,1
473,J. Sala,Dif,SPE,22.70,4.00,-1.90,6,1,108,0,41,34,82.93,1,0,4,1,4
475,F. Carboni,Dif,MON,20.80,4.80,-1.70,3,0,63,0,34,25,73.53,1,0,9,1,9
476,T. Barbieri,Dif,JUV,20.10,4.80,-0.30,3,2,109,0,43,35,81.4,0,0,7,0,7
478,Joao Moutinho,Dif,SPE,19.00,5.30,-2.30,4,0,57,0,31,25,80.65,1,0,3,0,3
481,L. Marrone,Dif,MON,15.90,4.40,-3.70,2,2,135,0,84,78,92.86,0,0,0,0,0
484,J. Abankwah,Dif,UDI,13.40,4.00,-0.30,2,1,63,0,25,19,76,0,0,0,0,0
488,P. Ceccaroni,Dif,LEC,11.00,6.20,-1.80,2,0,41,0,11,8,72.73,1,0,0,0,0
489,F. Romagna,Dif,SAS,7.70,4.00,-0.30,2,0,46,0,36,34,94.44,0,0,0,0,0
490,M. Muldur,Dif,SAS,7.60,5.50,-3.90,2,1,13,0,3,3,100,0,0,0,0,0
495,T. Cassandro,Dif,LEC,4.60,4.10,-2.00,1,0,12,0,3,3,100,0,0,0,0,0
496,S. Radu,Dif,LAZ,4.10,4.00,-2.00,1,0,1,0,6,6,100,0,0,0,0,0
498,D. Zeefuik,Dif,VER,3.00,5.80,-2.10,1,0,9,0,5,4,80,0,0,1,0,1
499,K. Dermaku,Dif,LEC,2.50,4.90,-3.90,1,0,33,0,2,1,50,0,0,0,0,0
500,A. Conti,Dif,SAM,1.70,4.00,-2.80,1,0,22,0,7,3,42.86,0,0,0,0,0
508,M. Fares,Dif,LAZ,0.00,4.00,-1.30,0,0,0,0,0,0,0,0,0,0,0,0
517,D. Keramitsis,Dif,ROM,0.00,4.30,-0.30,0,0,0,0,0,0,0,0,0,0,0,0
521,M. Lemmens,Dif,LEC,0.00,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0
522,R. Nizet,Dif,LEC,0,4.00,-0.20,0,0,0,0,0,0,0,0,0,0,0,0
524,L. Tonelli,Dif,EMP,-6.40,4.00,-3.20,1,0,18,0,7,5,71.43,0,0,0,0,0
