Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Tanguy Ndombélé,0.5,0.2,0.5,0.0,0.2,0.1,0.0,0.0,6.24
Victor Osimhen,0.3,0.2,1.3,0.0,0.9,0.2,0.0,0.0,7.45
Andrea Belotti,0.4,0.1,0.7,0.0,0.2,0.2,0.0,0.0,6.25
Benjamin Tahirovic,0.7,0.3,0.5,0.0,0.3,0.7,0.4,0.0,6.26
Bryan Cristante,3.1,0.5,1.4,0.0,1.4,1.0,0.3,0.0,6.81
Chris Smalling,0.8,1.3,0.6,0.2,3.8,0.3,1.1,0.0,6.91
Cristian Volpato,0.4,0.3,1.0,0.0,0.0,0.3,0.0,0.0,6.55
Diego Llorente,1.1,1.2,1.0,0.3,2.1,0.8,0.2,0.0,6.58
Edoardo Bove,1.6,0.5,1.1,0.0,0.3,1.0,0.0,0.0,6.34
Eldor Shomurodov,0.2,0.2,0.2,0.0,0.0,0.3,0.0,0.0,6.09
Filippo Missori,1.3,1.0,1.3,0.0,1.0,1.0,0.0,0.0,6.22
Georginio Wijnaldum,0.3,0.1,0.2,0.0,0.2,0.1,0.1,0.0,6.6
Gianluca Mancini,1.1,1.3,1.1,0.1,1.8,0.5,0.5,0.0,6.67
Ibañez,2.0,2.0,1.3,0.2,2.8,0.5,0.3,1.0,6.87
Jordan Majchrzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
Leonardo Spinazzola,0.6,0.3,0.5,0.0,0.8,0.6,0.1,0.0,6.55
Lorenzo Pellegrini,1.6,0.8,0.8,0.0,0.6,0.8,0.1,0.0,7.09
Mady Camara,0.9,0.7,1.0,0.0,0.5,0.7,0.1,0.0,6.34
Marash Kumbulla,0.6,0.6,0.4,0.1,0.9,0.1,0.1,0.0,6.15
Matías Viña,1.0,0.7,1.3,0.0,1.0,0.7,0.3,0.0,6.33
Mile Svilar,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.56
Nemanja Matic,1.3,0.7,0.5,0.0,0.5,0.4,0.2,0.0,6.65
Niccolò Pisilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Nicola Zalewski,1.4,0.9,0.7,0.0,0.6,1.5,0.0,0.0,6.59
Nicolò Zaniolo,0.5,0.2,1.7,0.0,0.0,0.4,0.0,0.0,6.21
Ola Solbakken,0.1,0.1,0.4,0.0,0.6,0.4,0.0,0.0,6.32
Paulo Dybala,0.5,0.3,0.4,0.0,0.1,0.7,0.0,0.0,7.2
Rick Karsdorp,1.6,0.5,0.3,0.2,1.2,0.7,0.0,0.0,6.34
Rui Patrício,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,6.45
Stephan El Shaarawy,0.7,0.5,0.6,0.0,0.3,0.6,0.0,0.0,6.79
Tammy Abraham,0.4,0.1,0.9,0.0,0.4,0.3,0.1,0.0,6.75
Zeki Çelik,1.8,0.6,1.1,0.0,1.0,0.7,0.3,0.0,6.48
Antonio Candreva,0.5,0.5,0.2,0.0,0.6,0.8,0.1,0.0,6.68
Antonio Iervolino,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.13
Boulaye Dia,0.4,0.2,0.8,0.0,0.8,0.2,0.0,0.0,6.88
Diego Valencia,0.7,0.1,0.7,0.1,0.2,0.6,0.1,0.0,6.08
Domagoj Bradaric,0.8,0.7,0.5,0.1,1.3,0.3,0.2,0.0,6.39
Domen Crnigoj,1.1,1.3,0.9,0.0,0.9,0.1,0.1,0.0,6.32
Dylan Bronn,1.4,0.8,1.2,0.4,2.3,0.4,0.8,0.0,6.41
Emil Bohinen,1.0,0.7,0.6,0.0,0.8,0.5,0.3,0.0,6.38
Erik Botheim,0.4,0.0,0.4,0.0,0.1,0.3,0.0,0.0,6.19
Federico Bonazzoli,0.2,0.1,0.8,0.0,0.0,0.4,0.0,0.0,6.27
Federico Fazio,1.1,2.0,0.8,0.6,4.3,0.5,0.3,0.0,6.62
Flavius Daniliuc,2.1,1.1,1.2,0.4,2.6,0.8,0.5,0.0,6.53
Franck Ribéry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
Giulio Maggiore,1.3,0.5,1.3,0.0,0.6,0.7,0.3,0.0,6.27
Grigoris Kastanos,1.4,0.3,0.8,0.0,0.2,0.9,0.2,0.0,6.49
Guillermo Ochoa,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,6.8
Hans Nicolussi Caviglia,1.3,0.6,1.1,0.0,0.5,0.5,0.0,0.0,6.11
Ivan Radovanovic,1.2,0.7,0.4,0.2,0.9,0.6,0.3,0.0,6.15
Julian Kristoffersen,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.94
Junior Sambia,0.5,0.4,0.5,0.0,0.5,0.2,0.1,0.0,6.33
Krzysztof Piatek,0.5,0.1,1.2,0.0,1.2,0.5,0.1,0.0,6.59
Lassana Coulibaly,2.4,0.7,1.5,0.0,0.9,1.2,0.2,0.0,6.72
Lorenzo Pirola,1.3,1.2,1.1,0.5,3.2,0.3,1.3,0.0,6.56
Luigi Sepe,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0.0,6.84
Matteo Lovato,1.0,0.8,0.4,0.4,1.9,0.9,0.3,0.0,6.14
Norbert Gyömbér,1.2,1.3,0.8,0.2,3.3,0.3,0.8,0.0,6.71
Pasquale Mazzocchi,1.2,0.4,1.0,0.0,1.0,0.7,0.1,0.0,6.74
Tonny Vilhena,1.3,0.5,1.0,0.0,0.6,0.9,0.2,0.0,6.46
Vincenzo Fiorillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31
William Troost-Ekong,1.2,0.7,0.8,0.7,1.1,0.1,0.4,0.0,6.44
Abdelhamid Sabiri,1.0,0.1,1.6,0.1,0.3,0.5,0.2,0.0,6.44
Alessandro Zanoli,1.0,0.5,0.2,0.0,1.6,0.4,0.7,0.0,6.59
Alex Ferrari,0.8,1.6,1.0,0.8,2.0,0.3,0.8,0.0,6.37
Andrea Conti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87
Bartosz Bereszynski,1.9,1.4,0.9,0.4,1.4,0.6,0.3,0.0,6.43
Bram Nuytinck,2.8,1.2,1.2,0.4,4.3,0.6,1.1,0.0,6.67
Bruno Amione,1.9,1.0,0.9,0.7,2.2,0.9,0.4,0.0,6.49
Daniele Montevago,0.2,0.0,1.3,0.0,0.2,0.2,0.2,0.0,6.1
Emil Audero,0.0,0.0,0.0,0.0,0.6,0.1,0.0,1.0,6.78
Emirhan Ilkhan,0.8,0.0,0.0,0.0,0.4,0.1,0.1,0.0,6.14
Fabio Depaoli,1.7,0.3,0.3,0.0,1.3,0.3,0.0,0.0,6.53
Fabio Quagliarella,0.1,0.0,0.2,0.0,0.4,0.3,0.0,0.0,6.14
Filip Djuricic,1.3,0.2,1.2,0.0,0.2,0.6,0.2,0.0,6.44
Flavio Paoletti,0.2,0.4,0.4,0.1,0.7,0.3,0.0,0.0,6.07
Francesco Caputo,0.2,0.1,0.3,0.0,0.2,0.2,0.0,0.0,6.16
Gerard Yepes,1.0,0.8,1.4,0.0,0.6,0.4,0.0,0.0,6.14
Gonzalo Villar,0.9,0.3,1.1,0.0,0.5,0.5,0.2,0.0,6.08
Harry Winks,1.4,1.2,0.8,0.0,1.0,1.5,0.4,0.0,6.46
Ignacio Pussetto,1.2,0.0,1.4,0.0,0.6,0.2,0.0,0.0,6.22
Jeison Murillo,1.1,0.4,0.9,0.5,2.0,0.5,0.7,1.0,6.24
Jesé,0.2,0.1,0.3,0.0,0.2,0.1,0.1,0.0,6.17
Koray Günter,1.0,1.1,0.7,0.2,4.5,0.3,0.5,0.0,6.42
Lorenzo Malagrida,0.2,0.0,0.7,0.0,0.2,0.3,0.0,0.0,6.07
Manolo Gabbiadini,0.7,0.2,1.2,0.0,0.7,0.4,0.1,0.0,6.56
Manuel De Luca,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,5.88
Marios Oikonomou,0.5,0.7,0.5,0.5,2.2,0.3,0.7,0.0,6.12
Martin Turk,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.96
Mehdi Léris,2.0,0.8,1.6,0.0,0.9,1.0,0.2,0.0,6.62
Michaël Cuisance,1.1,0.4,0.7,0.0,0.3,1.4,0.0,0.0,6.34
Mihailo Ivanovic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Nicola Murru,1.2,0.5,0.8,0.1,1.0,0.3,0.4,0.0,6.14
Nicola Ravaglia,0.0,0.0,0.1,0.0,0.8,0.1,0.0,0.0,6.63
Omar Colley,1.1,1.4,0.9,0.8,4.3,0.2,0.3,0.0,6.51
Ronaldo Vieira,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0.0,6.18
Sam Lammers,0.6,0.3,1.0,0.1,0.6,0.5,0.2,0.0,6.43
Samuel Ntanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34
Telasco Segovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Tommaso Augello,0.5,0.5,0.4,0.3,1.3,0.3,0.2,0.0,6.52
Tomás Rincón,1.6,0.9,1.7,0.0,0.5,0.9,0.2,0.0,6.39
Valerio Verre,0.8,0.5,0.8,0.1,0.2,0.5,0.1,0.0,6.28
Abdou Harroui,0.7,0.1,0.6,0.0,0.4,0.2,0.0,0.0,6.31
Agustín Álvarez,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0.0,6.18
Alessandro Russo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.26
Andrea Consigli,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,6.32
Andrea Pinamonti,0.3,0.1,0.7,0.0,0.3,0.1,0.1,0.0,6.38
Armand Laurienté,0.8,0.4,0.8,0.0,0.1,0.5,0.0,0.0,7.11
Davide Frattesi,1.8,0.4,1.1,0.1,1.1,0.5,0.2,0.0,6.8
Domenico Berardi,0.9,0.7,1.3,0.0,0.6,1.2,0.0,0.0,7.15
Emil Ceïde,0.3,0.1,0.2,0.0,0.0,0.1,0.1,0.0,6.2
Filippo Romagna,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,6.07
Giacomo Raspadori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81
Gian Marco Ferrari,0.7,0.7,0.7,0.9,2.5,0.2,0.6,0.0,6.31
Gianluca Pegolo,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.31
Giorgos Kyriakopoulos,1.8,0.9,0.8,0.1,1.0,0.3,0.1,0.0,6.8
Grégoire Defrel,0.3,0.1,0.5,0.0,0.2,0.3,0.0,0.0,6.2
Hamed Traorè,1.0,0.2,0.8,0.0,0.0,0.6,0.0,0.0,6.36
Janis Antiste,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.61
Jeremy Toljan,1.2,0.6,0.3,0.4,1.1,0.4,0.5,0.0,6.37
Kaan Ayhan,1.0,0.5,0.4,0.5,2.5,0.0,0.4,0.0,6.24
Kristian Thorstvedt,0.5,0.5,0.6,0.0,0.4,0.4,0.2,0.0,6.3
Luca D'Andrea,0.8,0.2,0.8,0.2,0.0,0.6,0.0,0.0,6.58
Martin Erlic,1.0,1.1,0.8,1.0,4.1,0.5,0.8,1.0,6.59
Matheus Henrique,0.9,0.4,0.7,0.0,0.3,0.4,0.1,0.0,6.57
Maxime Lopez,1.4,0.7,1.0,0.0,0.6,1.3,0.2,0.0,6.51
Mert Müldür,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.12
Nadir Zortea,1.5,0.4,1.1,0.0,1.6,0.5,0.4,0.0,6.5
Nedim Bajrami,0.7,0.4,0.3,0.0,0.3,0.3,0.1,0.0,6.41
Pedro Obiang,1.5,0.5,0.9,0.0,0.8,0.5,0.1,0.0,6.38
Riccardo Marchizza,0.2,0.2,0.7,0.2,0.7,0.2,0.0,0.0,6.11
Rogério,1.0,1.0,0.8,0.4,1.7,0.5,0.3,0.0,6.55
Ruan Tressoldi,1.7,1.0,1.2,0.9,3.3,0.4,0.7,1.0,6.32
Albin Ekdal,1.2,0.8,1.0,0.0,1.2,0.8,0.1,0.0,6.37
Arkadiusz Reca,1.5,0.8,1.1,0.1,1.7,0.4,0.2,0.0,6.51
Bartlomiej Dragowski,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,6.58
Daniel Maldini,0.7,0.1,0.7,0.0,0.4,0.4,0.0,0.0,6.44
Daniele Verde,0.2,0.3,0.1,0.0,0.1,0.2,0.0,0.0,6.33
David Strelec,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,6.04
Dimitrios Nikolaou,1.3,0.8,0.8,0.4,2.1,0.3,0.7,0.0,6.36
Eldor Shomurodov,0.3,0.2,0.6,0.0,0.3,0.6,0.1,0.0,6.29
Emil Holm,1.3,0.5,1.1,0.0,1.7,0.8,0.3,0.0,6.64
Emmanuel Gyasi,0.7,0.2,1.3,0.1,0.7,0.8,0.2,0.0,6.25
Ethan Ampadu,2.1,1.2,1.4,0.5,2.9,0.8,0.7,0.0,6.63
Federico Marchetti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96
Jacopo Sala,0.2,0.2,0.5,0.0,0.2,0.3,0.0,0.0,5.99
Jakub Kiwior,1.3,1.4,0.9,0.6,4.0,1.1,1.1,0.0,6.62
Jeroen Zoet,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.54
João Moutinho,1.8,0.0,0.3,0.0,0.0,0.3,0.3,0.0,6.13
Julius Beck,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.03
Kelvin Amian,1.8,0.7,1.2,0.3,2.5,0.2,0.4,0.0,6.44
Kevin Agudelo,2.1,0.3,1.0,0.0,0.2,1.0,0.1,0.0,6.53
Leandro Sanca,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
M'Bala Nzola,0.4,0.2,1.8,0.0,0.7,0.2,0.2,0.0,6.64
Mattia Caldara,1.2,0.9,0.8,0.6,4.3,0.6,0.8,1.0,6.4
Mehdi Bourabia,1.1,0.9,0.9,0.0,1.5,0.6,0.3,0.0,6.52
Mikael Ellertsson,0.4,0.2,0.5,0.0,0.0,0.3,0.1,0.0,5.98
Petar Zovko,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.38
Petko Hristov,0.7,0.4,0.1,0.2,1.3,0.3,0.2,0.0,6.2
Przemyslaw Wisniewski,0.9,0.8,0.9,0.6,4.7,0.9,0.6,2.0,6.51
Raimonds Krollis,0.3,0.0,0.5,0.0,0.0,0.3,0.0,0.0,6.03
Salvador Ferrer,0.8,0.2,0.4,0.2,0.8,0.4,0.2,0.0,6.14
Salvatore Esposito,1.0,0.7,0.7,0.0,1.1,1.1,0.1,0.0,6.43
Simone Bastoni,2.5,0.4,1.5,0.1,0.7,0.9,0.3,0.0,6.65
Szymon Zurkowski,0.9,0.4,1.5,0.0,0.6,1.3,0.2,0.0,6.25
Tio Cipot,1.5,0.0,0.1,0.0,0.3,0.3,0.0,0.0,6.19
Viktor Kovalenko,0.5,0.2,0.5,0.0,0.4,0.2,0.1,0.0,6.19
Aleksey Miranchuk,0.4,0.1,0.3,0.0,0.2,0.3,0.0,0.0,6.64
Alessandro Buongiorno,1.1,1.8,1.9,0.3,2.9,0.4,0.6,0.0,6.77
Andreaw Gravillon,0.4,1.3,1.3,0.0,2.3,0.0,0.3,0.0,6.28
Antonio Sanabria,0.3,0.1,1.0,0.0,0.2,0.2,0.1,0.0,6.82
Brian Bayeye,1.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,6.31
David Zima,1.0,1.0,0.4,0.1,1.2,0.1,0.2,0.0,6.36
Demba Seck,0.3,0.1,0.4,0.0,0.1,0.1,0.1,0.0,6.23
Emirhan Ilkhan,0.3,0.5,1.3,0.0,0.5,0.0,0.3,0.0,6.19
Gvidas Gineitis,1.0,0.0,2.0,0.0,0.3,0.3,0.0,0.0,6.02
Ivan Ilic,1.3,0.4,0.9,0.1,0.7,0.7,0.2,0.0,6.85
Jacopo Segre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
Karol Linetty,1.0,0.6,1.6,0.0,0.7,0.4,0.3,0.0,6.42
Koffi Djidji,1.5,1.0,0.8,0.2,2.0,0.4,0.4,0.0,6.5
Michel Adopo,0.8,0.1,0.7,0.0,0.4,0.2,0.2,0.0,6.28
Mërgim Vojvoda,0.8,0.3,0.7,0.0,0.8,0.4,0.1,0.0,6.48
Nemanja Radonjic,0.1,0.1,0.6,0.0,0.1,0.1,0.0,0.0,6.49
Nikola Vlasic,0.9,0.3,0.9,0.0,0.3,0.6,0.1,0.0,6.74
Ola Aina,0.9,0.6,0.8,0.1,1.0,0.3,0.1,0.0,6.68
Perr Schuurs,1.7,0.9,1.0,0.4,3.2,0.4,0.5,0.0,6.67
Pietro Pellegri,0.3,0.0,0.8,0.1,0.2,0.1,0.1,0.0,6.2
Ricardo Rodríguez,1.5,1.1,0.7,0.1,1.6,0.4,0.4,0.0,6.65
Ronaldo Vieira,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,6.09
Samuele Ricci,1.1,0.6,0.8,0.0,0.9,0.2,0.2,0.0,6.62
Sasa Lukic,1.3,0.8,1.6,0.0,0.6,0.4,0.4,0.0,6.58
Valentino Lazaro,0.4,0.1,0.6,0.1,1.0,0.4,0.1,0.0,6.52
Vanja Milinkovic-Savic,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.58
Wilfried Singo,0.9,0.4,1.4,0.1,0.9,0.2,0.1,0.0,6.64
Yann Karamoh,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0.0,6.42
Adam Masina,0.7,0.7,0.8,0.1,1.9,0.6,0.3,0.0,6.49
Axel Guessand,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,6.33
Beto,0.5,0.2,1.1,0.0,0.9,0.4,0.1,0.0,6.66
Bram Nuytinck,1.2,0.8,0.7,0.5,3.5,0.7,1.0,0.0,6.46
Brandon Soppy,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.87
Destiny Udogie,2.2,1.1,1.1,0.2,0.5,0.8,0.2,0.0,6.87
Enzo Ebosse,0.8,0.6,0.5,0.0,1.2,0.2,0.3,0.0,6.31
Festy Ebosele,0.9,0.1,0.6,0.0,0.2,0.4,0.0,0.0,6.34
Florian Thauvin,0.1,0.1,0.6,0.1,0.1,0.7,0.0,0.0,6.21
Gerard Deulofeu,0.5,0.1,0.5,0.0,0.1,0.6,0.1,0.0,7.06
Ilija Nestorovski,0.3,0.1,0.9,0.0,0.5,0.3,0.0,0.0,6.31
Isaac Success,0.3,0.1,1.1,0.0,0.6,0.2,0.1,0.0,6.54
Jaka Bijol,1.2,0.9,0.9,0.6,5.1,0.3,0.8,0.0,6.86
James Abankwah,0.5,0.0,1.0,0.0,1.5,0.0,1.0,0.0,6.54
Jean-Victor Makengo,1.0,0.6,0.6,0.1,0.2,0.3,0.1,0.0,6.4
Kingsley Ehizibue,1.7,0.4,1.2,0.1,1.3,0.6,0.1,0.0,6.47
Lazar Samardzic,0.9,0.3,0.7,0.0,0.4,0.7,0.0,0.0,6.7
Leonardo Buta,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02
Marco Silvestri,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6.55
Marvin Zeegelaar,1.1,0.4,1.9,0.1,0.7,0.1,0.0,0.0,6.34
Mato Jajalo,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,6.18
Nehuén Pérez,2.3,1.0,0.9,0.4,2.8,0.5,0.7,1.0,6.65
Nicolò Cocetta,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.23
Roberto Pereyra,1.1,0.5,0.9,0.0,0.6,0.8,0.1,0.0,6.77
Rodrigo Becão,2.5,0.9,1.4,0.4,2.2,0.5,0.9,1.0,6.75
Sandi Lovric,1.1,0.7,0.8,0.0,0.5,0.5,0.1,0.0,6.66
Simone Pafundi,1.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,6.19
Tolgay Arslan,0.8,0.3,0.4,0.0,0.2,0.7,0.0,0.0,6.28
Vivaldo Semedo,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,6.05
Walace,2.2,1.4,1.1,0.1,1.2,1.3,0.3,0.0,6.66
Adolfo Gaich,0.3,0.2,1.1,0.1,0.4,0.3,0.1,1.0,6.34
Adrien Tameze,1.4,1.0,0.9,0.0,1.4,0.9,0.4,0.0,6.41
Ajdin Hrustic,0.3,0.0,1.2,0.0,0.3,0.2,0.0,0.0,6.0
Alessandro Cortinovis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
Antonín Barák,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Bruno Amione,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,5.78
Cyril Ngonge,0.5,0.4,0.9,0.0,0.3,0.6,0.0,0.0,6.56
Darko Lazovic,0.8,0.5,0.3,0.0,0.6,0.5,0.1,0.0,6.67
Davide Faraoni,1.5,0.7,0.9,0.0,1.5,1.1,0.5,0.0,6.42
Deyovaisio Zeefuik,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
Diego Coppola,1.3,0.7,0.5,0.2,1.9,0.7,0.3,0.0,6.36
Fabio Depaoli,1.5,0.6,1.4,0.0,0.9,0.6,0.2,0.0,6.37
Federico Ceccherini,1.1,0.9,1.4,0.1,2.4,0.5,0.5,0.0,6.48
Filippo Terracciano,1.0,0.5,0.4,0.0,0.6,0.3,0.2,0.0,6.39
Giangiacomo Magnani,1.4,0.9,0.9,0.1,3.1,0.3,0.6,1.0,6.5
Ibrahim Sulemana,1.2,0.9,0.7,0.0,0.9,0.4,0.1,0.0,6.32
Isak Hien,2.3,1.0,1.6,0.5,2.8,0.7,0.5,0.0,6.6
Ivan Ilic,1.5,0.7,0.8,0.0,1.2,0.5,0.1,0.0,6.75
Jayden Braaf,0.8,0.3,1.3,0.0,0.2,0.0,0.0,0.0,6.45
Josh Doig,0.9,0.5,0.6,0.0,0.5,0.5,0.3,0.0,6.5
Juan Cabal,0.9,1.2,0.6,0.4,0.9,0.5,0.5,0.0,6.35
Kevin Lasagna,0.5,0.2,0.9,0.0,0.4,0.3,0.0,0.0,6.23
Koray Günter,0.8,2.3,1.3,0.2,3.5,0.2,1.2,0.0,6.66
Lorenzo Montipò,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0.0,6.63
Martin Hongla,0.9,0.7,1.2,0.0,0.9,0.0,0.1,0.0,6.36
Miguel Veloso,1.5,0.3,0.9,0.0,0.5,0.5,0.3,1.0,6.39
Milan Djuric,0.1,0.0,0.9,0.0,0.9,0.1,0.1,0.0,6.74
Oliver Abildgaard,0.8,0.4,1.0,0.0,1.3,0.7,0.1,0.0,6.47
Ondrej Duda,1.5,0.9,1.1,0.0,0.5,0.5,0.0,0.0,6.55
Panagiotis Retsos,2.5,1.0,2.0,1.0,1.5,0.0,0.5,0.0,6.63
Pawel Dawidowicz,2.1,1.0,1.6,0.3,3.0,0.4,0.4,0.0,6.57
Roberto Piccoli,0.1,0.0,0.3,0.0,0.3,0.3,0.0,0.0,6.11
Simone Perilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Simone Verdi,0.6,0.0,0.6,0.0,0.1,0.5,0.0,0.0,6.62
Thomas Henry,0.3,0.0,1.7,0.0,0.9,0.3,0.1,0.0,6.38
Yayah Kallon,0.6,0.4,0.6,0.0,0.1,0.2,0.0,0.0,6.28
