Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Salvatore Sirigu,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.63
Sofyan Amrabat,1.3,0.7,1.9,0.0,0.6,0.4,0.2,0.0,6.46
Szymon Zurkowski,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.25
Youssef Maleh,0.4,0.1,1.1,0.0,0.3,0.6,0.0,0.0,6.13
Alessandro Bastoni,1.4,0.8,0.7,0.2,1.4,0.6,0.4,0.0,6.68
Alex Cordaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45
André Onana,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,6.72
Danilo D'Ambrosio,1.7,0.7,1.1,0.2,1.1,0.8,0.3,0.0,6.46
Denzel Dumfries,1.0,0.4,0.9,0.0,0.6,0.4,0.3,1.0,6.69
Edin Dzeko,0.1,0.1,0.8,0.0,0.8,0.1,0.0,0.0,6.75
Federico Dimarco,0.9,0.5,0.4,0.0,0.4,0.3,0.1,0.0,6.87
Francesco Acerbi,1.1,1.3,0.5,0.3,2.5,0.3,0.6,0.0,6.79
Hakan Çalhanoglu,1.5,0.8,1.4,0.0,0.2,0.8,0.2,0.0,7.07
Henrikh Mkhitaryan,1.3,0.7,0.9,0.0,0.5,0.9,0.1,0.0,6.69
Joaquín Correa,0.5,0.1,0.5,0.0,0.0,0.4,0.0,0.0,6.39
Kristjan Asllani,0.6,0.3,0.3,0.0,0.2,0.2,0.1,0.0,6.25
Lautaro Martínez,0.7,0.3,1.2,0.0,0.4,0.4,0.0,0.0,7.18
Marcelo Brozovic,1.3,0.8,0.9,0.0,0.9,0.9,0.3,0.0,6.78
Matteo Darmian,1.8,0.7,0.7,0.0,1.1,0.5,0.2,0.0,6.63
Mattia Zanotti,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,6.02
Milan Skriniar,1.4,0.6,1.7,0.3,2.2,0.7,0.6,1.0,6.44
Nicolò Barella,1.4,0.3,0.9,0.0,0.3,0.7,0.1,0.0,6.94
Raoul Bellanova,0.8,0.2,0.2,0.1,0.6,0.3,0.1,0.0,6.29
Roberto Gagliardini,0.8,0.2,1.1,0.0,0.6,0.6,0.3,0.0,6.27
Robin Gosens,1.1,0.7,0.5,0.0,0.4,0.3,0.1,0.0,6.44
Romelu Lukaku,0.1,0.0,0.6,0.0,0.6,0.1,0.0,0.0,6.96
Samir Handanovic,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.68
Stefan de Vrij,1.0,1.5,0.6,0.3,2.9,0.2,0.4,0.0,6.87
Valentín Carboni,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,6.04
Adrien Rabiot,2.0,0.8,1.4,0.0,1.2,0.8,0.2,0.0,7.11
Alex Sandro,1.4,0.6,1.1,0.4,2.5,0.3,0.4,0.0,6.7
Arkadiusz Milik,0.4,0.0,1.0,0.0,0.5,0.2,0.0,0.0,6.69
Bremer,1.0,1.4,1.0,0.5,3.8,0.2,0.7,0.0,6.92
Daniele Rugani,0.8,0.8,0.6,0.3,3.4,0.0,0.6,0.0,6.69
Danilo,2.5,1.3,0.9,0.2,3.0,0.6,0.5,0.0,7.04
Denis Zakaria,3.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,6.65
Dusan Vlahovic,0.4,0.1,0.7,0.0,0.3,0.2,0.1,0.0,6.75
Enzo Barrenechea,2.7,0.7,1.0,0.0,1.0,0.7,0.0,0.0,6.47
Fabio Miretti,0.9,0.1,0.9,0.0,0.3,0.6,0.0,0.0,6.39
Federico Chiesa,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,6.59
Federico Gatti,0.8,1.2,0.9,0.3,2.9,0.3,0.8,0.0,6.73
Filip Kostic,1.1,0.4,0.8,0.0,0.7,0.7,0.1,0.0,6.78
Juan Cuadrado,1.6,0.8,1.1,0.1,0.7,1.2,0.1,0.0,6.89
Leandro Paredes,0.8,0.7,0.8,0.0,0.8,0.5,0.0,0.0,6.41
Leonardo Bonucci,0.3,0.8,0.6,0.3,1.7,0.1,0.5,0.0,6.5
