2016-2017,23,Wolfsburg,de GER,1. Bundesliga,16°,22.4,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2021-2022,28,Torino,it ITA,1. Serie A,10°,27.5,1247,1469,"84,9",21547,8073,602,644,"93,5",515,562,"91,6",108,198,"54,5",1,1.6,1.8,-0.6,22,101,7,2,115,Partite
2022-2023,29,Torino,it ITA,1. Serie A,10°,29.7,1439,1757,"81,9",25311,8461,664,726,"91,5",625,718,"87,0",128,242,"52,9",0,1.9,2.2,-1.9,29,114,26,12,133,Partite
2023-2024,30,Torino,it ITA,1. Serie A,10°,21.9,1006,1195,"84,2",17175,6024,468,498,"94,0",435,505,"86,1",88,159,"55,3",1,0.6,1.0,+0.4,10,87,18,8,90,Partite
15 stagioni,5 club,,4 campionati,,342.2,8317,9974,"83,4",144247,48066,4019,4292,"93,6",3350,3862,"86,7",802,1415,"56,7",31,8.2,10.5,+22.8,118,668,128,57,799,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Wolfsburg (6 stagioni),,1 campionato,,140.9,,,,,,,,,,,,,,,23,,,,,,,,,
Torino (4 stagioni),,1 campionato,,92.8,4292,5140,"83,5",74097,25613,2055,2201,"93,4",1785,2033,"87,8",382,699,"54,6",2,4.4,5.3,-2.4,67,338,56,22,387,
Milan (3 stagioni),,1 campionato,,71.5,3817,4552,"83,9",66612,21347,1863,1973,"94,4",1480,1718,"86,1",402,675,"59,6",3,3.4,4.4,-0.4,46,324,66,32,395,
Zürich (3 stagioni),,1 campionato,,32.0,,,,,,,,,,,,,,,3,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,5.0,208,282,"73,8",3538,1106,101,118,"85,6",85,111,"76,6",18,41,"43,9",0,0.4,0.8,-0.4,5,6,6,3,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,164.4,8109,9692,"83,7",140709,46960,3918,4174,"93,9",3265,3751,"87,0",784,1374,"57,1",5,7.8,9.7,-2.8,113,662,122,54,782,
Bundesliga (6 stagioni),,,,140.9,,,,,,,,,,,,,,,23,,,,,,,,,
Super Lg (3 stagioni),,,,32.0,,,,,,,,,,,,,,,3,,,,,,,,,
Eredivisie (1 stagione),,,,5.0,208,282,"73,8",3538,1106,101,118,"85,6",85,111,"76,6",18,41,"43,9",0,0.4,0.8,-0.4,5,6,6,3,17,
