Nome Giocatore,Partite Giocate,Minuti Giocati,Gol Fatti,Tiri in Porta,Dribbling Riusciti,Occasioni Sprecate,Dribbling Tentati,Partite - Passaggi,Minuti - Passaggi,Totale Passaggi,Passaggi Riusciti,Percentuale Passaggi Riusciti,Passaggi Chiave,Occasioni Create,Cross Riusciti,Porta Invulnerata,Falli Subiti,Cartellini Gialli,Cartellini Rossi,Palloni Rubati,Tackle Riusciti,Partite - Azioni Difensive,Minuti - Azioni Difensive,Intercept,Palloni Recuperati,Duelli Aerei/Terra Vinti,Duelli Aerei/Terra Persi,Errori Decisionali,Tackle - Azioni Difensive,Contropiedi,Contropiedi Vinti,Transizioni Difensive,Transizioni Centrali,Transizioni Offensive,Attacchi,Palloni Persi,Blocchi Effettuati,Tiri Effettuati,Tipo Passaggio,Intercettazioni,Tackle + Intercettazioni,Salvataggi,Errori,Azione Creata,Passaggi Live,Passaggi Dead,Assist,Azione Difensiva,Azione Gol Creata,Passaggi Completati,Tentativi,Distanza Totale Percorsa,Distanza Progressiva,Expected Assists Gol,Expected Assists,Differenza tra Assist Attesi e Gol,Palle Ferme,Entrate nel Terzo Finale,Passaggi Penetranti nell'Area,Cross nell'Area di Rigore,Passaggi Progressivi,Palla in Gioco,Palla Fuori Gioco,Punizioni,Passaggi Filtranti,Scambi Palla,Rimesse Laterali,Calci d'Angolo,Conversioni,Divise,Direzione,Posizioni di Fuorigioco,Contesti,Interceptazioni,Falli Commessi,Fuorigioco,Spazi,Dribbling,Respinte,Valutazione Giocatore
F. Dimarco,0.75,0.5795677799607073,1.0,1.0,0.09,0.36363636363636365,0.16,0.75,0.5795677799607073,0.29035714285714287,0.26157770800627944,0.8222,0.8938053097345132,1.0,0.8677685950413223,0.6666666666666666,0.3706896551724138,0.0,0.0,0.3484848484848485,0.4195804195804196,0.75,0.5795677799607073,0.18181818181818182,0.3484848484848485,0.3061224489795918,0.294478527607362,0.25,0.4195804195804196,0.42142857142857143,0.5176470588235293,0.17,0.5178571428571428,0.65,0.39473684210526316,0.42592592592592593,0.27450980392156865,0.08695652173913043,0.3728813559322034,0.25,0.31954887218045114,0.16040955631399317,0.16666666666666666,0.8805970149253731,0.6820809248554913,0.47191011235955055,0.14285714285714285,0.25,1.0,0.3921662288034392,0.4810928961748634,0.4041052303776216,0.3582840025675772,1.0,1.0,0.07526881720430112,0.9017857142857142,0.3473053892215569,0.6612903225806451,1.0,0.3449023861171367,0.4066771230114273,0.4057507987220448,0.32941176470588235,0.05555555555555555,0.3333333333333333,0.375,0.4190871369294606,0.3404255319148936,0.5588235294117647,0.0,0.25,0.32142857142857145,0.23809523809523808,0.13333333333333333,0.0,0.07843137254901962,0.17647058823529413,0.07142857142857144,0.9689703808180536
F. Ebosele,0.5972222222222222,0.32645710543549444,0.0,0.21428571428571427,0.61,0.09090909090909091,0.535,0.5972222222222222,0.32645710543549444,0.07285714285714286,0.056711145996860286,0.7127500000000001,0.17699115044247787,0.08695652173913043,0.11570247933884298,0.2,0.41379310344827586,0.36363636363636365,0.25,0.19191919191919193,0.32167832167832167,0.5972222222222222,0.32645710543549444,0.06818181818181818,0.19191919191919193,0.4438775510204081,0.49386503067484666,0.0,0.32167832167832167,0.3357142857142857,0.3529411764705882,0.3,0.2857142857142857,0.05,0.38596491228070173,0.37037037037037035,0.3333333333333333,0.014492753623188406,0.559322033898305,0.08653846153846154,0.21052631578947367,0.10921501706484642,0.0,0.31343283582089554,0.21387283236994217,0.011235955056179775,0.7857142857142857,0.125,0.3157894736842105,0.08383090518270839,0.11497267759562842,0.07931543387898235,0.07945225019613437,0.20300751879699247,0.1869158878504673,0.3548387096774194,0.17857142857142855,0.08383233532934133,0.1532258064516129,0.19230769230769232,0.10412147505422994,0.10262155500784226,0.07135250266240682,0.01764705882352941,0.1111111111111111,0.04938271604938271,0.1095890410958904,0.0,0.0,0.0,0.0,0.05,0.32142857142857145,0.047619047619047616,0.19999999999999998,0.0,0.03921568627450981,0.23529411764705885,0.0,0.8942172073342736
F. Fazio,0.3472222222222222,0.3120497707924034,0.25,0.14285714285714285,0.05,0.18181818181818182,0.045,0.3472222222222222,0.3120497707924034,0.15267857142857144,0.12853218210361067,0.7651000000000001,0.04424778761061947,0.0,0.0,0.13333333333333333,0.09482758620689655,0.2272727272727273,0.5,0.2828282828282829,0.18181818181818182,0.3472222222222222,0.3120497707924034,0.2727272727272727,0.2828282828282829,0.2755102040816326,0.19938650306748468,0.0,0.18181818181818182,0.18571428571428572,0.23529411764705882,0.17,0.1607142857142857,0.0,0.17543859649122806,0.2222222222222222,0.24509803921568626,0.2463768115942029,0.13559322033898305,0.34615384615384615,0.23308270676691728,0.4232081911262799,0.0,0.0945273631840796,0.07514450867052022,0.011235955056179775,0.0,0.0,0.05263157894736842,0.16049677573441606,0.19278688524590165,0.17036976860690253,0.18475857642108268,0.015037593984962405,0.03738317757009346,0.5161290322580645,0.04464285714285714,0.11377245508982037,0.03225806451612903,0.0,0.12364425162689806,0.18373291507954292,0.06496272630457935,0.21764705882352942,0.0,0.09876543209876543,0.03767123287671233,0.0,0.0,0.0,0.0,0.05,0.3928571428571429,0.9523809523809523,0.26666666666666666,0.6,0.8431372549019609,0.29411764705882354,0.21428571428571427,0.9337094499294781
F. Gatti,0.5694444444444444,0.543713163064833,0.375,0.3214285714285714,0.13,0.18181818181818182,0.1,0.5694444444444444,0.543713163064833,0.33517857142857144,0.3143642072213501,0.85395,0.10619469026548672,0.17391304347826086,0.024793388429752067,0.5666666666666667,0.23275862068965517,0.4545454545454546,0.0,0.29292929292929293,0.25874125874125875,0.5694444444444444,0.543713163064833,0.25,0.29292929292929293,0.37499999999999994,0.36503067484662577,0.0,0.25874125874125875,0.2642857142857143,0.2823529411764706,0.2,0.25,0.15000000000000002,0.2982456140350877,0.2037037037037037,0.3529411764705882,0.34782608695652173,0.2033898305084746,0.3269230769230769,0.26691729323308266,0.41638225255972694,0.5,0.1791044776119403,0.18497109826589594,0.0,0.0,0.0,0.10526315789473684,0.38858371148793885,0.4194535519125683,0.42705498463246544,0.36413237286926753,0.18045112781954886,0.19626168224299068,0.2795698924731183,0.10714285714285714,0.344311377245509,0.06451612903225806,0.057692307692307696,0.28633405639913234,0.41407125252072596,0.06922257720979766,0.22941176470588234,0.05555555555555555,0.4074074074074074,0.0410958904109589,0.0,0.0,0.0,0.0,0.30000000000000004,0.28571428571428575,0.5714285714285714,0.3,0.3,0.5686274509803922,0.17647058823529413,0.5714285714285715,0.9492242595204514
F. Missori,0.09722222222222221,0.045841519318926,0.0,0.03571428571428571,0.0,0.0,0.01,0.09722222222222221,0.045841519318926,0.013571428571428571,0.011381475667189953,0.7828999999999999,0.008849557522123894,0.0,0.008264462809917356,0.03333333333333333,0.008620689655172414,0.045454545454545456,0.0,0.05050505050505051,0.04195804195804196,0.09722222222222221,0.045841519318926,0.03787878787878788,0.05050505050505051,0.02551020408163265,0.04294478527607362,0.0,0.04195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.47619047619047616,0.43333333333333335,0.0,0.19607843137254904,0.5882352941176471,0.0,0.8772919605077574
F. Parisi,0.6666666666666666,0.6278650949574329,0.25,0.14285714285714285,0.77,0.18181818181818182,0.65,0.6666666666666666,0.6278650949574329,0.33339285714285716,0.29650706436420726,0.8209000000000001,0.2831858407079646,0.17391304347826086,0.1487603305785124,0.3333333333333333,0.8879310344827586,0.5909090909090909,0.25,0.48989898989898994,0.6013986013986014,0.6666666666666666,0.6278650949574329,0.40151515151515155,0.48989898989898994,0.7806122448979591,0.6226993865030676,0.0,0.6013986013986014,0.6214285714285714,0.5294117647058824,0.45,0.5178571428571428,0.65,0.7894736842105263,0.8888888888888888,0.6862745098039216,0.2898550724637681,0.847457627118644,0.5096153846153847,0.5263157894736842,0.37883959044368604,0.0,0.43781094527363185,0.3872832369942196,0.0449438202247191,0.5,0.125,0.5263157894736842,0.4406496298065441,0.5147540983606558,0.4070568801873891,0.45028885243563227,0.2706766917293233,0.21495327102803738,0.25806451612903225,0.2857142857142857,0.4191616766467066,0.3629032258064516,0.2692307692307693,0.45119305856832975,0.4279632534169841,0.46325878594249204,0.28823529411764703,0.1111111111111111,0.13580246913580246,0.6592465753424657,0.004149377593360996,0.010638297872340425,0.0,0.0,0.5,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.2,0.41176470588235303,0.7647058823529412,0.35714285714285715,0.9774330042313116
F. Romagna,0.05555555555555555,0.015062213490504257,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.015062213490504257,0.012857142857142857,0.013343799058084773,0.9444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.015062213490504257,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.19607843137254904,0.0,0.35714285714285715,0.8561354019746122
F. Terracciano,0.5277777777777778,0.42436149312377214,0.0,0.21428571428571427,0.24,0.18181818181818182,0.22,0.5277777777777778,0.42436149312377214,0.19035714285714286,0.15502354788069075,0.7411,0.3185840707964602,0.17391304347826086,0.34710743801652894,0.13333333333333333,0.5517241379310345,0.18181818181818182,0.0,0.38383838383838387,0.3776223776223776,0.5277777777777778,0.42436149312377214,0.30303030303030304,0.38383838383838387,0.4591836734693877,0.4723926380368098,0.0,0.3776223776223776,0.35714285714285715,0.3764705882352941,0.34,0.23214285714285712,0.15000000000000002,0.4473684210526315,0.35185185185185186,0.30392156862745096,0.14492753623188406,0.3559322033898305,0.2884615384615385,0.3007518796992481,0.10580204778156997,0.0,0.24875621890547264,0.1676300578034682,0.12359550561797752,0.3571428571428571,0.0,0.3157894736842105,0.17721518987341772,0.23081967213114754,0.18309706595177166,0.2124670137650667,0.16541353383458646,0.26168224299065423,0.5161290322580645,0.23214285714285712,0.2095808383233533,0.1935483870967742,0.2692307692307693,0.19088937093275488,0.19023078646650235,0.2172523961661342,0.15294117647058825,0.1111111111111111,0.1728395061728395,0.2791095890410959,0.06224066390041494,0.031914893617021274,0.10784313725490197,0.0,0.15000000000000002,0.35714285714285715,0.23809523809523808,0.13333333333333333,0.0,0.11764705882352942,0.17647058823529413,0.14285714285714288,0.9012693935119886
F. Tomori,0.6944444444444444,0.6810740013097577,0.5,0.3214285714285714,0.05,0.09090909090909091,0.04,0.6944444444444444,0.6810740013097577,0.5421428571428571,0.5347331240188383,0.9005000000000001,0.08849557522123894,0.043478260869565216,0.0,0.5666666666666667,0.2672413793103448,0.3181818181818182,0.25,0.5151515151515152,0.6853146853146853,0.6944444444444444,0.6810740013097577,0.3712121212121212,0.5151515151515152,0.5408163265306122,0.3374233128834356,0.0,0.6853146853146853,0.7142857142857143,0.6235294117647059,0.66,0.5535714285714285,0.15000000000000002,0.5087719298245614,0.38888888888888884,0.6764705882352942,0.5942028985507246,0.4745762711864407,0.46153846153846156,0.556390977443609,0.4709897610921502,0.3333333333333333,0.14427860696517414,0.1445086705202312,0.02247191011235955,0.0,0.125,0.15789473684210525,0.6551229997611655,0.6714754098360656,0.7145294284901905,0.6151130447186364,0.06015037593984962,0.09345794392523366,0.5591397849462365,0.08928571428571427,0.35628742514970063,0.056451612903225805,0.0,0.37960954446854667,0.6417208155948914,0.21299254526091588,0.4294117647058823,0.2222222222222222,0.25925925925925924,0.030821917808219176,0.0,0.0,0.0,0.0,0.4,0.75,0.42857142857142855,0.26666666666666666,0.3,0.45098039215686275,0.23529411764705885,0.5714285714285715,0.9717912552891396
G. Bonfanti,0.027777777777777776,0.0045841519318926,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0045841519318926,0.0014285714285714286,0.0011773940345368918,0.75,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.027777777777777776,0.0045841519318926,0.0,0.0,0.00510204081632653,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G. Cittadini,0.05555555555555555,0.004911591355599214,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.004911591355599214,0.0025,0.0019623233908948197,0.8333,0.0,0.0,0.0,0.0,0.017241379310344827,0.09090909090909091,0.0,0.010101010101010102,0.013986013986013986,0.05555555555555555,0.004911591355599214,0.0,0.010101010101010102,0.015306122448979591,0.006134969325153374,0.0,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G. Di Lorenzo,0.861111111111111,0.9016044531761624,0.5,0.6428571428571428,0.24,0.09090909090909091,0.315,0.861111111111111,0.9016044531761624,0.685,0.6518838304552591,0.8673500000000002,0.7345132743362832,0.5217391304347826,0.2066115702479339,0.8,0.5086206896551724,0.3181818181818182,0.0,0.48989898989898994,0.6993006993006993,0.861111111111111,0.9016044531761624,0.32575757575757575,0.48989898989898994,0.6147959183673469,0.7024539877300614,0.0,0.6993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.38095238095238093,0.26666666666666666,0.2,0.27450980392156865,0.35294117647058826,0.14285714285714288,0.9929478138222849
